time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,rawMean
-8,2008,Carrickalinga South Bay,4000,4000,479.9166508368966,576.9445713245019,171.38780531707397,1312.9238594326614,6.167742939998306
-8,2008,Rapid Bay Jetty,4000,4000,1368.5388983418966,1682.470500283298,446.3848489711008,4031.4062673126214,7.211770779805434
-8,2008,Shag Rock Carrickalinga,4000,4000,614.5112559256561,748.1249760727928,221.70961171992286,1701.2225012692074,6.428396980015962
-5,2011,Rapid Bay Jetty,4000,4000,1195.3377765123787,1462.6754524366777,433.40769614348034,3426.583163587086,7.0883681640585054
-5,2011,Rapid Head East,4000,4000,291.39651178727746,366.9744240590191,102.73170958949943,872.4586078602479,5.688616764359024
-5,2011,Shag Rock Carrickalinga,4000,4000,777.5902379566744,929.8797041059385,291.1198810662507,2101.7283509244808,6.655367254001857
-4,2012,Carrickalinga Head,4000,4000,688.5420002849798,834.935813396535,251.18784729448055,1928.7165649141587,6.536363307915912
-4,2012,Carrickalinga South Bay,4000,4000,606.543162856369,732.7165232585664,224.88943468053344,1690.1460152075745,6.4064423878706975
-4,2012,Dodd's Beach,4000,4000,339.0038174386509,410.6684154047983,127.43307847147308,945.7423897978971,5.83297605357745
-4,2012,Flat Irons,4000,4000,513.0289764703489,625.8947401148394,195.22012242578745,1451.568836213334,6.251693530276255
-4,2012,Normanville Beach,4000,4000,395.314410500519,489.7081797230233,130.68424459371454,1147.6636630704904,5.975448083078813
-4,2012,Rapid Bay Jetty,4000,4000,1168.5588360937413,1427.2614219965612,436.1701950627954,3293.940459781947,7.070562228326376
-4,2012,Rapid Head East,4000,4000,320.3687542376059,389.73062190877914,110.95936492207888,894.0140866398881,5.762795346198854
-4,2012,Rapid Head Windmill,4000,4000,572.200450205189,691.1046592458515,207.97716856884406,1627.136307084799,6.347497373063201
-4,2012,Shag Rock Carrickalinga,4000,4000,842.8885342342667,1023.214117058999,307.8334807662843,2375.852613117083,6.73952299356667
-4,2012,Whalebone,4000,4000,747.379746013524,901.2633582624085,267.63179208696806,2068.4883309538054,6.6146155353194125
-3,2013,Carrickalinga North3,4000,4000,271.23997349430687,348.5718552638565,90.83233415836298,880.8780493643601,5.62061029975993
-3,2013,Carrickalinga South Bay,4000,4000,635.5440314696925,763.1467178311499,240.8688217270805,1690.1815343160436,6.462275056494769
-3,2013,Normanville Beach,4000,4000,399.96266483521674,489.7537885086813,140.14834383380787,1119.9641380570329,5.991137527167753
-3,2013,Olivers Reef,4000,4000,416.85699871430364,517.9312164869774,143.91561572028465,1228.3885409446211,6.040636862235625
-3,2013,Rapid Head East,4000,4000,351.6693855712598,425.21321386058537,127.24446068690398,992.3508885526642,5.860508630547593
-3,2013,The Bluff,4000,4000,411.063680558074,493.134247600882,149.45324691727322,1102.6770097315405,6.014031099414208
-3,2013,Whalebone,4000,4000,809.2093654328248,980.0209474362886,301.39325496314444,2241.4368412435256,6.702289952638032
-2,2014,Carrickalinga South Bay,4000,4000,688.9219376836884,822.6435722353203,245.94316830472903,1868.8099150145053,6.527448070648887
-2,2014,Rapid Bay Jetty,4000,4000,1106.4687644259463,1322.557727331866,408.13904428613415,2967.2977860266087,7.005789964911029
-2,2014,Rapid Head East,4000,4000,378.4052772916882,451.6541802109914,136.26908900550006,1021.701519733632,5.924093817330359
-2,2014,Shag Rock Carrickalinga,4000,4000,996.97449250471,1192.0389380193526,362.0987327896639,2653.902874751587,6.902640959403679
-1,2015,Broken Bottom,4000,4000,320.59569244279004,404.80134780088025,117.1774895948586,961.7545753413305,5.791140428745145
-1,2015,Horseshoe Inside,4000,4000,298.479725186418,369.1956617415028,100.90131723621919,877.6644808293557,5.700868284064109
-1,2015,Parham Reef,4000,4000,755.9561853163011,995.7369124210205,239.65193481099178,2587.3306626169683,6.639581074585485
-1,2015,Seacliff Reef,4000,4000,542.137223985238,688.9527969184173,186.68553813584492,1679.2642957834105,6.305078370239844
-1,2015,Southport,4000,4000,374.49659546710984,467.24607375135537,115.57281545781271,1163.8794154843413,5.909887642878774
0,2016,Broken Bottom,4000,4000,344.8034205551893,415.66255666014956,123.95478952846929,944.6120155798117,5.838023149944627
0,2016,Carrickalinga North3,4000,4000,333.2612832487869,402.073059680911,121.0940932389671,912.7859869643901,5.805002569374002
0,2016,Carrickalinga South Bay,4000,4000,751.1886598682793,915.9201283057049,269.97576617407765,2132.1498220566014,6.624575906305625
0,2016,Dodd's Beach,4000,4000,344.85102480285093,416.5943206312804,123.38582182983151,954.1631711426076,5.841929993405544
0,2016,Horseshoe Inside,4000,4000,398.25478507618146,487.7495793795529,146.35875042849975,1121.8548704333034,5.993304919867118
0,2016,Moana Outside,4000,4000,586.5527707041715,732.1566547324786,195.5682505583101,1725.810663747563,6.372533078435602
0,2016,Noarlunga North Outside,4000,4000,1551.555885766713,1952.852738592757,534.3795030653285,4699.035659435807,7.352329854692519
0,2016,Parham Reef,4000,4000,569.4424304422498,711.442796054319,198.73597173376626,1668.2249268111486,6.356596199458011
0,2016,Rapid Head East,4000,4000,444.0297645250411,537.3013619234223,165.26867427578554,1198.0939083537212,6.103574532053717
0,2016,Ripple Rock,4000,4000,727.6820886497273,886.6103314578613,261.80265018871575,2019.802401622798,6.588737824034675
0,2016,Seacliff Reef,4000,4000,527.032471198921,647.3026044972706,186.57547580037635,1530.6187945872134,6.270859854716202
0,2016,Semaphore Reef,4000,4000,169.93784530232193,221.4408165275329,51.32593575650804,559.7300637734395,5.1356014263332375
0,2016,Shag Rock Carrickalinga,4000,4000,1174.852121179308,1427.6469780155135,417.05908784670106,3374.646106404407,7.071585792837488
0,2016,Southport,4000,4000,349.9985556193202,436.0376735758818,121.28622851228688,1039.0110437837932,5.864676554148816
1,2017,Aldinga Pinnacles,4000,4000,772.543223807618,938.0746314373408,281.8505485064895,2177.796897768241,6.648970008128058
1,2017,Backstairs Deep,4000,4000,775.0290447089052,956.7769071021421,264.72657088956885,2256.5130610377955,6.648434059093504
1,2017,Basham's Beach,4000,4000,459.17864624912636,633.9102389554473,127.02267904401525,1676.9653114613975,6.140022644741731
1,2017,Broken Bottom,4000,4000,358.68277724218683,433.1537600290692,128.2380808558913,970.8358950244158,5.876855529092803
1,2017,Cape Jervis South,4000,4000,492.1912311885892,619.3959081460462,168.80651634485207,1523.0097306311502,6.20357897614471
1,2017,Carrickalinga Head,4000,4000,580.8785882271834,704.669942887024,208.88497528980247,1593.8111505368304,6.363129877259911
1,2017,Carrickalinga North3,4000,4000,345.4047236924696,418.5734934786772,123.04809799766028,966.2243826999055,5.84584018589236
1,2017,Carrickalinga South Bay,4000,4000,816.7707532499692,986.4560692289264,286.05276799262555,2255.0400847391315,6.703901879477426
1,2017,Chiton Rocks,4000,4000,277.26144186579995,342.613306220864,89.86912386723439,824.9432760168123,5.614314089694182
1,2017,Deep Creek,4000,4000,843.7931947153272,1062.6867761125327,291.9544868386348,2559.4776478236245,6.748142847991105
1,2017,Dodd's Beach,4000,4000,335.4024723946609,412.4854052797042,127.18090240742929,973.0132167747136,5.829513621177614
1,2017,Encounter Deep,4000,4000,463.51146600143335,585.7052802422883,146.26657079003655,1431.4151454104208,6.142694048579155
1,2017,Fishery Beach,4000,4000,426.8107455714612,509.87397265370237,147.75155069298538,1149.2651915744834,6.040621518049697
1,2017,Flat Irons,4000,4000,515.3280253359906,637.5073069564777,191.10032529421304,1487.5342252897926,6.260618423909439
1,2017,Horseshoe Inside,4000,4000,521.7560906464403,620.861048756911,178.8444367899391,1389.713230855293,6.2441379770545735
1,2017,Lady Bay,4000,4000,574.2418184461186,711.4678743754838,194.22602826194228,1707.3140760715555,6.3486764084667255
1,2017,Moana Outside,4000,4000,495.58227705486195,609.7154612204448,181.78860917472593,1396.2802690003969,6.21894869140351
1,2017,Myponga Reef,4000,4000,356.35669788173493,445.4544520900444,123.48357261216765,1054.1998700473875,5.8845915672817775
1,2017,Newland Head,4000,4000,776.1707408498704,954.798149558109,277.4751512200558,2272.4797103441642,6.655341215169012
1,2017,Noarlunga North Outside,4000,4000,1326.2507464228174,1619.791368678371,480.0506879556311,3768.9922802979795,7.188331058249725
1,2017,Noarlunga South Outside,4000,4000,785.7353157580469,980.6126891213815,262.37056538226693,2331.7253397826303,6.667322325164131
1,2017,Normanville Beach,4000,4000,434.36223032450374,528.6774335721637,147.72410154559802,1210.2729414167588,6.069762191500386
1,2017,Olivers Reef,4000,4000,365.516793927192,446.13417816324613,135.87076154680656,1032.6822883178263,5.90584611646256
1,2017,Outside Granite Island,4000,4000,627.3756967025847,755.8823917122781,214.16430867021302,1743.0068379297454,6.4273571306568344
1,2017,Parham Reef,4000,4000,443.632324884504,537.9824962784955,153.20108309888198,1254.4654353969147,6.083111947313027
1,2017,Porpoise Head,4000,4000,981.1382157095873,1184.4350833875496,341.1482471508152,2706.1057579764633,6.877241827107872
1,2017,Port Gawler,4000,4000,645.076871959076,822.0117572065144,194.6354399322543,2069.620866834025,6.463701601334129
