propMAlgae,GSiteID,SurveyID,TransectID,SurveyDate,SiteName,Composition,points,Macroalgae,Year,time
0.92,12,72,276,2018-02-08T00:00:00Z,West Island,Granite,100,92,2018,0.5
0.76,12,72,277,2018-02-08T00:00:00Z,West Island,Granite,100,76,2018,0.5
0.99,12,72,278,2018-02-08T00:00:00Z,West Island,Granite,100,99,2018,0.5
0.89,12,72,279,2018-02-08T00:00:00Z,West Island,Granite,100,89,2018,0.5
0.99,14,77,296,2017-05-10T00:00:00Z,Newland Head,Schist,100,99,2017,-0.5
0.99,14,77,297,2017-05-10T00:00:00Z,Newland Head,Schist,100,99,2017,-0.5
0.7029702970297029,14,77,298,2017-05-10T00:00:00Z,Newland Head,Schist,101,71,2017,-0.5
0.97,14,77,299,2017-05-10T00:00:00Z,Newland Head,Schist,100,97,2017,-0.5
1,14,78,300,2018-01-28T00:00:00Z,Newland Head,Schist,100,100,2018,0.5
0.97,14,78,301,2018-01-28T00:00:00Z,Newland Head,Schist,100,97,2018,0.5
1,14,78,302,2018-01-28T00:00:00Z,Newland Head,Schist,100,100,2018,0.5
1,14,78,303,2018-01-28T00:00:00Z,Newland Head,Schist,100,100,2018,0.5
0.99,15,83,320,2017-05-09T00:00:00Z,Flat irons,Schist,100,99,2017,-0.5
1,15,83,321,2017-05-09T00:00:00Z,Flat irons,Schist,100,100,2017,-0.5
1,15,83,322,2017-05-09T00:00:00Z,Flat irons,Schist,100,100,2017,-0.5
1,15,83,323,2017-05-09T00:00:00Z,Flat irons,Schist,100,100,2017,-0.5
0.99,15,84,324,2018-01-28T00:00:00Z,Flat irons,Schist,100,99,2018,0.5
0.99,15,84,325,2018-01-28T00:00:00Z,Flat irons,Schist,100,99,2018,0.5
0.97,15,84,326,2018-01-28T00:00:00Z,Flat irons,Schist,100,97,2018,0.5
0.99,15,84,327,2018-01-28T00:00:00Z,Flat irons,Schist,100,99,2018,0.5
0.98,17,93,360,2017-04-15T00:00:00Z,The Bluff,Granite,100,98,2017,-0.5
1,17,93,361,2017-04-15T00:00:00Z,The Bluff,Granite,100,100,2017,-0.5
0.96,17,93,362,2017-04-15T00:00:00Z,The Bluff,Granite,100,96,2017,-0.5
0.99,17,93,363,2017-04-15T00:00:00Z,The Bluff,Granite,100,99,2017,-0.5
0.89,17,94,364,2018-03-09T00:00:00Z,The Bluff,Granite,100,89,2018,0.5
0.96,17,94,365,2018-03-09T00:00:00Z,The Bluff,Granite,100,96,2018,0.5
0.95,17,94,366,2018-03-09T00:00:00Z,The Bluff,Granite,100,95,2018,0.5
0.95,17,94,367,2018-03-09T00:00:00Z,The Bluff,Granite,100,95,2018,0.5
0.74,28,139,544,2017-03-07T00:00:00Z,Ripple Rock,Schist,100,74,2017,-0.5
0.64,28,139,545,2017-03-07T00:00:00Z,Ripple Rock,Schist,100,64,2017,-0.5
0.85,28,139,546,2017-03-07T00:00:00Z,Ripple Rock,Schist,100,85,2017,-0.5
0.83,28,139,547,2017-03-07T00:00:00Z,Ripple Rock,Schist,100,83,2017,-0.5
0.98,28,140,548,2018-04-30T00:00:00Z,Ripple Rock,Schist,100,98,2018,0.5
0.94,28,140,549,2018-04-30T00:00:00Z,Ripple Rock,Schist,100,94,2018,0.5
0.86,28,140,550,2018-04-30T00:00:00Z,Ripple Rock,Schist,100,86,2018,0.5
0.96,28,140,551,2018-04-30T00:00:00Z,Ripple Rock,Schist,100,96,2018,0.5
0.51,29,150,584,2017-03-15T00:00:00Z,Shag Rock,Schist,100,51,2017,-0.5
0.65,29,150,585,2017-03-15T00:00:00Z,Shag Rock,Schist,100,65,2017,-0.5
0.76,29,150,586,2017-03-15T00:00:00Z,Shag Rock,Schist,100,76,2017,-0.5
0.83,29,150,587,2017-03-15T00:00:00Z,Shag Rock,Schist,100,83,2017,-0.5
0.77,29,152,592,2018-02-20T00:00:00Z,Shag Rock,Schist,100,77,2018,0.5
0.86,29,152,593,2018-02-20T00:00:00Z,Shag Rock,Schist,100,86,2018,0.5
0.73,29,152,594,2018-02-20T00:00:00Z,Shag Rock,Schist,100,73,2018,0.5
0.86,29,152,595,2018-02-20T00:00:00Z,Shag Rock,Schist,100,86,2018,0.5
0.93,32,171,669,2017-03-20T00:00:00Z,Rapid Head Windmills,Schist,100,93,2017,-0.5
0.88,32,171,670,2017-03-20T00:00:00Z,Rapid Head Windmills,Schist,100,88,2017,-0.5
0.9,32,171,671,2017-03-20T00:00:00Z,Rapid Head Windmills,Schist,100,90,2017,-0.5
0.83,32,171,672,2017-03-20T00:00:00Z,Rapid Head Windmills,Schist,100,83,2017,-0.5
0.82,32,172,673,2018-01-24T00:00:00Z,Rapid Head Windmills,Schist,100,82,2018,0.5
0.66,32,172,674,2018-01-24T00:00:00Z,Rapid Head Windmills,Schist,100,66,2018,0.5
0.95,32,172,675,2018-01-24T00:00:00Z,Rapid Head Windmills,Schist,100,95,2018,0.5
0.81,32,172,676,2018-01-24T00:00:00Z,Rapid Head Windmills,Schist,100,81,2018,0.5
0.99,34,176,689,2017-06-01T00:00:00Z,Porpoise Head,Schist,100,99,2017,-0.5
0.87,34,176,690,2017-06-01T00:00:00Z,Porpoise Head,Schist,100,87,2017,-0.5
0.98,34,176,691,2017-06-01T00:00:00Z,Porpoise Head,Schist,100,98,2017,-0.5
0.92,34,176,692,2017-06-01T00:00:00Z,Porpoise Head,Schist,100,92,2017,-0.5
0.98,34,177,693,2018-02-09T00:00:00Z,Porpoise Head,Schist,100,98,2018,0.5
0.8947368421052632,34,177,694,2018-02-09T00:00:00Z,Porpoise Head,Schist,95,85,2018,0.5
0.93,34,177,695,2018-02-09T00:00:00Z,Porpoise Head,Schist,100,93,2018,0.5
0.91,34,177,696,2018-02-09T00:00:00Z,Porpoise Head,Schist,100,91,2018,0.5
0.95,43,192,753,2017-04-12T00:00:00Z,Fishery Beach,Schist,100,95,2017,-0.5
0.9,43,192,754,2017-04-12T00:00:00Z,Fishery Beach,Schist,100,90,2017,-0.5
1,43,192,755,2017-04-12T00:00:00Z,Fishery Beach,Schist,100,100,2017,-0.5
0.92,43,192,756,2017-04-12T00:00:00Z,Fishery Beach,Schist,100,92,2017,-0.5
0.93,43,193,757,2018-02-09T00:00:00Z,Fishery Beach,Schist,100,93,2018,0.5
0.88,43,193,758,2018-02-09T00:00:00Z,Fishery Beach,Schist,100,88,2018,0.5
0.93,43,193,759,2018-02-09T00:00:00Z,Fishery Beach,Schist,100,93,2018,0.5
0.81,43,193,760,2018-02-09T00:00:00Z,Fishery Beach,Schist,100,81,2018,0.5
0.97,44,198,777,2017-04-15T00:00:00Z,Whalebone Reef,Granite,100,97,2017,-0.5
0.95,44,198,778,2017-04-15T00:00:00Z,Whalebone Reef,Granite,100,95,2017,-0.5
0.91,44,198,779,2017-04-15T00:00:00Z,Whalebone Reef,Granite,100,91,2017,-0.5
0.93,44,198,780,2017-04-15T00:00:00Z,Whalebone Reef,Granite,100,93,2017,-0.5
0.96,44,199,781,2018-01-27T00:00:00Z,Whalebone Reef,Granite,100,96,2018,0.5
0.92,44,199,782,2018-01-27T00:00:00Z,Whalebone Reef,Granite,100,92,2018,0.5
0.87,44,199,783,2018-01-27T00:00:00Z,Whalebone Reef,Granite,100,87,2018,0.5
0.9473684210526315,44,199,784,2018-01-27T00:00:00Z,Whalebone Reef,Granite,95,90,2018,0.5
0.97,45,205,802,2017-03-25T00:00:00Z,Rapid Head East,Schist,100,97,2017,-0.5
0.89,45,205,803,2017-03-25T00:00:00Z,Rapid Head East,Schist,100,89,2017,-0.5
0.98,45,205,804,2017-03-25T00:00:00Z,Rapid Head East,Schist,100,98,2017,-0.5
0.98,45,206,806,2018-05-16T00:00:00Z,Rapid Head East,Schist,100,98,2018,0.5
0.97,45,206,807,2018-05-16T00:00:00Z,Rapid Head East,Schist,100,97,2018,0.5
0.89,45,206,808,2018-05-16T00:00:00Z,Rapid Head East,Schist,100,89,2018,0.5
0.98,45,206,809,2018-05-16T00:00:00Z,Rapid Head East,Schist,100,98,2018,0.5
0.73,51,226,886,2017-03-26T00:00:00Z,Carrickalinga North 3,Schist,100,73,2017,-0.5
0.94,51,226,887,2017-03-26T00:00:00Z,Carrickalinga North 3,Schist,100,94,2017,-0.5
0.78,51,226,888,2017-03-26T00:00:00Z,Carrickalinga North 3,Schist,100,78,2017,-0.5
0.87,51,226,889,2017-03-26T00:00:00Z,Carrickalinga North 3,Schist,100,87,2017,-0.5
0.81,51,227,890,2018-03-13T00:00:00Z,Carrickalinga North 3,Schist,100,81,2018,0.5
0.75,51,227,891,2018-03-13T00:00:00Z,Carrickalinga North 3,Schist,100,75,2018,0.5
0.83,51,227,892,2018-03-13T00:00:00Z,Carrickalinga North 3,Schist,100,83,2018,0.5
0.94,51,227,893,2018-03-13T00:00:00Z,Carrickalinga North 3,Schist,100,94,2018,0.5
0.57,181,387,1507,2017-03-20T00:00:00Z,Rapid Bay Jetty,Artificial,100,57,2017,-0.5
0.57,181,387,1508,2017-03-20T00:00:00Z,Rapid Bay Jetty,Artificial,100,57,2017,-0.5
0.4,181,387,1509,2017-03-20T00:00:00Z,Rapid Bay Jetty,Artificial,100,40,2017,-0.5
0.38,181,387,1510,2017-03-20T00:00:00Z,Rapid Bay Jetty,Artificial,100,38,2017,-0.5
0.34,181,387,1511,2017-03-20T00:00:00Z,Rapid Bay Jetty,Artificial,100,34,2017,-0.5
0.38,181,388,1512,2018-01-24T00:00:00Z,Rapid Bay Jetty,Artificial,100,38,2018,0.5
0.2222222222222222,181,388,1513,2018-01-24T00:00:00Z,Rapid Bay Jetty,Artificial,99,22,2018,0.5
0.09,181,388,1514,2018-01-24T00:00:00Z,Rapid Bay Jetty,Artificial,100,9,2018,0.5
0.28,181,388,1515,2018-01-24T00:00:00Z,Rapid Bay Jetty,Artificial,100,28,2018,0.5
0.23232323232323232,181,388,1516,2018-01-24T00:00:00Z,Rapid Bay Jetty,Artificial,99,23,2018,0.5
0.8,259,484,1806,2017-04-14T00:00:00Z,Olivers Reef,Granite,100,80,2017,-0.5
0.84,259,484,1807,2017-04-14T00:00:00Z,Olivers Reef,Granite,100,84,2017,-0.5
0.9,259,484,1808,2017-04-14T00:00:00Z,Olivers Reef,Granite,100,90,2017,-0.5
0.97,259,484,1809,2017-04-14T00:00:00Z,Olivers Reef,Granite,100,97,2017,-0.5
0.82,259,485,1810,2018-01-27T00:00:00Z,Olivers Reef,Granite,100,82,2018,0.5
0.84,259,485,1811,2018-01-27T00:00:00Z,Olivers Reef,Granite,100,84,2018,0.5
0.96,259,485,1812,2018-01-27T00:00:00Z,Olivers Reef,Granite,100,96,2018,0.5
0.92,259,485,1813,2018-01-27T00:00:00Z,Olivers Reef,Granite,100,92,2018,0.5
0.83,263,491,1834,2017-03-15T00:00:00Z,Normanville Beach,Schist,100,83,2017,-0.5
0.86,263,491,1835,2017-03-15T00:00:00Z,Normanville Beach,Schist,100,86,2017,-0.5
0.89,263,491,1836,2017-03-15T00:00:00Z,Normanville Beach,Schist,100,89,2017,-0.5
0.95,263,491,1837,2017-03-15T00:00:00Z,Normanville Beach,Schist,100,95,2017,-0.5
0.98,263,492,1838,2018-02-20T00:00:00Z,Normanville Beach,Schist,100,98,2018,0.5
0.93,263,492,1839,2018-02-20T00:00:00Z,Normanville Beach,Schist,100,93,2018,0.5
0.98,263,492,1840,2018-02-20T00:00:00Z,Normanville Beach,Schist,100,98,2018,0.5
0.94,263,492,1841,2018-02-20T00:00:00Z,Normanville Beach,Schist,100,94,2018,0.5
0.48,296,503,1871,2017-03-23T00:00:00Z,Southport,Limestone,100,48,2017,-0.5
0.41,296,503,1872,2017-03-23T00:00:00Z,Southport,Limestone,100,41,2017,-0.5
0.51,296,503,1873,2017-03-23T00:00:00Z,Southport,Limestone,100,51,2017,-0.5
0.52,296,503,1874,2017-03-23T00:00:00Z,Southport,Limestone,100,52,2017,-0.5
0.36363636363636365,296,504,1875,2018-01-23T00:00:00Z,Southport,Limestone,99,36,2018,0.5
0.34,296,504,1876,2018-01-23T00:00:00Z,Southport,Limestone,100,34,2018,0.5
0.27,296,504,1877,2018-01-23T00:00:00Z,Southport,Limestone,100,27,2018,0.5
0.54,296,504,1878,2018-01-23T00:00:00Z,Southport,Limestone,100,54,2018,0.5
0.81,297,507,1887,2017-02-16T00:00:00Z,Semaphore,Limestone,100,81,2017,-0.5
0.96,297,507,1888,2017-02-16T00:00:00Z,Semaphore,Limestone,100,96,2017,-0.5
0.83,297,507,1889,2017-02-16T00:00:00Z,Semaphore,Limestone,100,83,2017,-0.5
0.89,297,507,1890,2017-02-16T00:00:00Z,Semaphore,Limestone,100,89,2017,-0.5
0.76,297,508,1891,2018-01-25T00:00:00Z,Semaphore,Limestone,100,76,2018,0.5
0.86,297,508,1892,2018-01-25T00:00:00Z,Semaphore,Limestone,100,86,2018,0.5
0.85,297,508,1893,2018-01-25T00:00:00Z,Semaphore,Limestone,100,85,2018,0.5
0.82,297,508,1894,2018-01-25T00:00:00Z,Semaphore,Limestone,100,82,2018,0.5
0.72,298,511,1903,2017-03-06T00:00:00Z,Seacliff,Limestone,100,72,2017,-0.5
0.8,298,511,1904,2017-03-06T00:00:00Z,Seacliff,Limestone,100,80,2017,-0.5
0.62,298,511,1905,2017-03-06T00:00:00Z,Seacliff,Limestone,100,62,2017,-0.5
0.65,298,511,1906,2017-03-06T00:00:00Z,Seacliff,Limestone,100,65,2017,-0.5
0.62,298,512,1907,2018-02-21T00:00:00Z,Seacliff,Limestone,100,62,2018,0.5
0.64,298,512,1908,2018-02-21T00:00:00Z,Seacliff,Limestone,100,64,2018,0.5
0.69,298,512,1909,2018-02-21T00:00:00Z,Seacliff,Limestone,100,69,2018,0.5
0.54,298,512,1910,2018-02-21T00:00:00Z,Seacliff,Limestone,100,54,2018,0.5
0.72,300,517,1927,2017-03-21T00:00:00Z,Port Parham,Limestone,100,72,2017,-0.5
0.2,300,517,1928,2017-03-21T00:00:00Z,Port Parham,Limestone,100,20,2017,-0.5
0.17,300,517,1929,2017-03-21T00:00:00Z,Port Parham,Limestone,100,17,2017,-0.5
0.45,300,517,1930,2017-03-21T00:00:00Z,Port Parham,Limestone,100,45,2017,-0.5
0.4,300,518,1931,2018-01-26T00:00:00Z,Port Parham,Limestone,100,40,2018,0.5
0.37,300,518,1932,2018-01-26T00:00:00Z,Port Parham,Limestone,100,37,2018,0.5
0.5,300,518,1933,2018-01-26T00:00:00Z,Port Parham,Limestone,100,50,2018,0.5
0.33,300,518,1934,2018-01-26T00:00:00Z,Port Parham,Limestone,100,33,2018,0.5
0.16,301,519,1935,2017-03-10T00:00:00Z,Noarlunga South Outside,Limestone,100,16,2017,-0.5
0.32,301,519,1936,2017-03-10T00:00:00Z,Noarlunga South Outside,Limestone,100,32,2017,-0.5
0.57,301,519,1937,2017-03-10T00:00:00Z,Noarlunga South Outside,Limestone,100,57,2017,-0.5
0.46,301,519,1938,2017-03-10T00:00:00Z,Noarlunga South Outside,Limestone,100,46,2017,-0.5
0.23,301,520,1939,2018-01-23T00:00:00Z,Noarlunga South Outside,Limestone,100,23,2018,0.5
0.22,301,520,1940,2018-01-23T00:00:00Z,Noarlunga South Outside,Limestone,100,22,2018,0.5
0.68,301,520,1941,2018-01-23T00:00:00Z,Noarlunga South Outside,Limestone,100,68,2018,0.5
0.29,301,520,1942,2018-01-23T00:00:00Z,Noarlunga South Outside,Limestone,100,29,2018,0.5
0.31,303,523,1947,2017-03-06T00:00:00Z,Noarlunga North Outside,Limestone,100,31,2017,-0.5
0.4,303,523,1948,2017-03-06T00:00:00Z,Noarlunga North Outside,Limestone,100,40,2017,-0.5
0.25,303,523,1949,2017-03-06T00:00:00Z,Noarlunga North Outside,Limestone,100,25,2017,-0.5
0.3263157894736842,303,523,1950,2017-03-06T00:00:00Z,Noarlunga North Outside,Limestone,95,31,2017,-0.5
0.48,303,524,1951,2018-02-21T00:00:00Z,Noarlunga North Outside,Limestone,100,48,2018,0.5
0.65,303,524,1952,2018-02-21T00:00:00Z,Noarlunga North Outside,Limestone,100,65,2018,0.5
0.55,303,524,1953,2018-02-21T00:00:00Z,Noarlunga North Outside,Limestone,100,55,2018,0.5
0.55,303,524,1954,2018-02-21T00:00:00Z,Noarlunga North Outside,Limestone,100,55,2018,0.5
0.88,306,529,1963,2017-03-23T00:00:00Z,Moana outside,Limestone,100,88,2017,-0.5
1,306,529,1964,2017-03-23T00:00:00Z,Moana outside,Limestone,100,100,2017,-0.5
1,306,529,1965,2017-03-23T00:00:00Z,Moana outside,Limestone,100,100,2017,-0.5
0.96,306,529,1966,2017-03-23T00:00:00Z,Moana outside,Limestone,100,96,2017,-0.5
0.92,306,530,1967,2018-01-20T00:00:00Z,Moana outside,Limestone,100,92,2018,0.5
0.99,306,530,1968,2018-01-20T00:00:00Z,Moana outside,Limestone,100,99,2018,0.5
1,306,530,1969,2018-01-20T00:00:00Z,Moana outside,Limestone,100,100,2018,0.5
0.99,306,530,1970,2018-01-20T00:00:00Z,Moana outside,Limestone,100,99,2018,0.5
0.64,311,541,2e3,2017-03-10T00:00:00Z,Horseshoe inner,Limestone,100,64,2017,-0.5
0.58,311,541,2001,2017-03-10T00:00:00Z,Horseshoe inner,Limestone,100,58,2017,-0.5
0.67,311,541,2002,2017-03-10T00:00:00Z,Horseshoe inner,Limestone,100,67,2017,-0.5
0.75,311,541,2003,2017-03-10T00:00:00Z,Horseshoe inner,Limestone,100,75,2017,-0.5
0.72,311,542,2004,2018-01-23T00:00:00Z,Horseshoe inner,Limestone,100,72,2018,0.5
0.87,311,542,2005,2018-01-23T00:00:00Z,Horseshoe inner,Limestone,100,87,2018,0.5
0.58,311,542,2006,2018-01-23T00:00:00Z,Horseshoe inner,Limestone,100,58,2018,0.5
0.81,311,542,2007,2018-01-23T00:00:00Z,Horseshoe inner,Limestone,100,81,2018,0.5
0.57,316,547,2020,2017-02-16T00:00:00Z,Broken Bottom,Limestone,100,57,2017,-0.5
0.69,316,547,2021,2017-02-16T00:00:00Z,Broken Bottom,Limestone,100,69,2017,-0.5
0.65,316,547,2022,2017-02-16T00:00:00Z,Broken Bottom,Limestone,100,65,2017,-0.5
0.82,316,547,2023,2017-02-16T00:00:00Z,Broken Bottom,Limestone,100,82,2017,-0.5
0.33,316,548,2024,2018-01-25T00:00:00Z,Broken Bottom,Limestone,100,33,2018,0.5
0.28,316,548,2025,2018-01-25T00:00:00Z,Broken Bottom,Limestone,100,28,2018,0.5
0.11578947368421053,316,548,2026,2018-01-25T00:00:00Z,Broken Bottom,Limestone,95,11,2018,0.5
0.32,316,548,2027,2018-01-25T00:00:00Z,Broken Bottom,Limestone,100,32,2018,0.5
0.86,347,585,2154,2017-03-23T00:00:00Z,Aldinga Pinacles,Limestone,100,86,2017,-0.5
0.85,347,585,2155,2017-03-23T00:00:00Z,Aldinga Pinacles,Limestone,100,85,2017,-0.5
0.79,347,585,2156,2017-03-23T00:00:00Z,Aldinga Pinacles,Limestone,100,79,2017,-0.5
0.9,347,585,2157,2017-03-23T00:00:00Z,Aldinga Pinacles,Limestone,100,90,2017,-0.5
0.98,347,586,2158,2018-01-20T00:00:00Z,Aldinga Pinacles,Limestone,100,98,2018,0.5
0.74,347,586,2159,2018-01-20T00:00:00Z,Aldinga Pinacles,Limestone,100,74,2018,0.5
0.39,347,586,2160,2018-01-20T00:00:00Z,Aldinga Pinacles,Limestone,100,39,2018,0.5
0.72,347,586,2161,2018-01-20T00:00:00Z,Aldinga Pinacles,Limestone,100,72,2018,0.5
0.53,354,587,2162,2017-02-14T00:00:00Z,Myponga,Schist,100,53,2017,-0.5
0.72,354,587,2163,2017-02-14T00:00:00Z,Myponga,Schist,100,72,2017,-0.5
0.53,354,587,2164,2017-02-14T00:00:00Z,Myponga,Schist,100,53,2017,-0.5
0.61,354,587,2165,2017-02-14T00:00:00Z,Myponga,Schist,100,61,2017,-0.5
0.58,354,588,2166,2018-02-19T00:00:00Z,Myponga,Schist,100,58,2018,0.5
0.58,354,588,2167,2018-02-19T00:00:00Z,Myponga,Schist,100,58,2018,0.5
0.51,354,588,2168,2018-02-19T00:00:00Z,Myponga,Schist,100,51,2018,0.5
0.56,354,588,2169,2018-02-19T00:00:00Z,Myponga,Schist,100,56,2018,0.5
0.9157894736842105,357,589,2170,2017-04-04T00:00:00Z,Cape Jervis South,Schist,95,87,2017,-0.5
0.82,357,589,2171,2017-04-04T00:00:00Z,Cape Jervis South,Schist,100,82,2017,-0.5
0.8,357,589,2172,2017-04-04T00:00:00Z,Cape Jervis South,Schist,100,80,2017,-0.5
0.84,357,589,2173,2017-04-04T00:00:00Z,Cape Jervis South,Schist,100,84,2017,-0.5
0.7,357,590,2174,2018-02-19T00:00:00Z,Cape Jervis South,Schist,100,70,2018,0.5
0.71,357,590,2175,2018-02-19T00:00:00Z,Cape Jervis South,Schist,100,71,2018,0.5
0.59,357,590,2176,2018-02-19T00:00:00Z,Cape Jervis South,Schist,100,59,2018,0.5
0.43,357,590,2177,2018-02-19T00:00:00Z,Cape Jervis South,Schist,100,43,2018,0.5
0.67,382,602,2222,2017-02-14T00:00:00Z,Lady Bay,Schist,100,67,2017,-0.5
0.73,382,602,2223,2017-02-14T00:00:00Z,Lady Bay,Schist,100,73,2017,-0.5
0.68,382,602,2224,2017-02-14T00:00:00Z,Lady Bay,Schist,100,68,2017,-0.5
0.63,382,602,2225,2017-02-14T00:00:00Z,Lady Bay,Schist,100,63,2017,-0.5
0.95,382,603,2226,2018-02-06T00:00:00Z,Lady Bay,Schist,100,95,2018,0.5
0.76,382,603,2227,2018-02-06T00:00:00Z,Lady Bay,Schist,100,76,2018,0.5
0.81,382,603,2228,2018-02-06T00:00:00Z,Lady Bay,Schist,100,81,2018,0.5
0.69,382,603,2229,2018-02-06T00:00:00Z,Lady Bay,Schist,100,69,2018,0.5
0.26,385,604,2230,2017-03-15T00:00:00Z,Yankalilla Mouth,Schist,100,26,2017,-0.5
0.29,385,604,2231,2017-03-15T00:00:00Z,Yankalilla Mouth,Schist,100,29,2017,-0.5
0.49,385,604,2232,2017-03-15T00:00:00Z,Yankalilla Mouth,Schist,100,49,2017,-0.5
0.54,385,604,2233,2017-03-15T00:00:00Z,Yankalilla Mouth,Schist,100,54,2017,-0.5
0.44,385,605,2234,2018-02-06T00:00:00Z,Yankalilla Mouth,Schist,100,44,2018,0.5
0.51,385,605,2235,2018-02-06T00:00:00Z,Yankalilla Mouth,Schist,100,51,2018,0.5
0.63,385,605,2236,2018-02-06T00:00:00Z,Yankalilla Mouth,Schist,100,63,2018,0.5
0.91,385,605,2237,2018-02-06T00:00:00Z,Yankalilla Mouth,Schist,100,91,2018,0.5
0.38,386,606,2238,2017-03-15T00:00:00Z,South Shores,Schist,100,38,2017,-0.5
0.43,386,606,2239,2017-03-15T00:00:00Z,South Shores,Schist,100,43,2017,-0.5
0.18,386,606,2240,2017-03-15T00:00:00Z,South Shores,Schist,100,18,2017,-0.5
0.57,386,606,2241,2017-03-15T00:00:00Z,South Shores,Schist,100,57,2017,-0.5
0.8,386,607,2242,2018-02-20T00:00:00Z,South Shores,Schist,100,80,2018,0.5
0.81,386,607,2243,2018-02-20T00:00:00Z,South Shores,Schist,100,81,2018,0.5
0.63,386,607,2244,2018-02-20T00:00:00Z,South Shores,Schist,100,63,2018,0.5
0.84,386,607,2245,2018-02-20T00:00:00Z,South Shores,Schist,100,84,2018,0.5
0.68,387,608,2246,2017-03-21T00:00:00Z,Port Gawler,Limestone,100,68,2017,-0.5
0.57,387,608,2247,2017-03-21T00:00:00Z,Port Gawler,Limestone,100,57,2017,-0.5
0.75,387,608,2248,2017-03-21T00:00:00Z,Port Gawler,Limestone,100,75,2017,-0.5
0.7,387,608,2249,2017-03-21T00:00:00Z,Port Gawler,Limestone,100,70,2017,-0.5
0.48,387,609,2250,2018-01-26T00:00:00Z,Port Gawler,Limestone,100,48,2018,0.5
0.59,387,609,2251,2018-01-26T00:00:00Z,Port Gawler,Limestone,100,59,2018,0.5
0.6,387,609,2252,2018-01-26T00:00:00Z,Port Gawler,Limestone,100,60,2018,0.5
