residual,propMAlgae,time,SiteName,standResid
0.05949921856853169,0.93,-0.5,Rapid Head Windmills,1.4155784890429337
0.009499218568531642,0.88,-0.5,Rapid Head Windmills,0.22600111046571755
0.02949921856853166,0.9,-0.5,Rapid Head Windmills,0.7018320618966041
-0.0405007814314684,0.83,-0.5,Rapid Head Windmills,-0.9635762681114987
-0.0029360216715850207,0.82,0.5,Rapid Head Windmills,-0.0247550415029268
-0.16293602167158494,0.66,0.5,Rapid Head Windmills,-1.373793667069349
0.12706397832841498,0.95,0.5,Rapid Head Windmills,1.0713388417697918
-0.012936021671584919,0.81,0.5,Rapid Head Windmills,-0.10906995560082737
0.052464086835217305,0.99,-0.5,Porpoise Head,0.9372572719739495
-0.06753591316478269,0.87,-0.5,Porpoise Head,-1.20651153105754
