time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
-10,2006,Rapid Head Windmill,4000,4000,308.00688064811914,425.60394278268177,42.73277787729558,1224.3246872357652,308 (42.7 to 1224.3)
-10,2006,Ripple Rock,4000,4000,744.6921888140747,1770.763063023723,54.7747428100363,6660.453499035636,744.7 (54.8 to 6660.5)
-10,2006,Shag Rock Carrickalinga,4000,4000,1.6646637302358012,300.14216980184807,0.008236914373827658,437.1910744854149,1.7 (0 to 437.2)
-10,2006,The Bluff,4000,4000,259.4639402975426,361.7435297572684,33.53659297727453,1043.3258911659943,259.5 (33.5 to 1043.3)
-9,2007,Carrickalinga Head,4000,4000,472.87113164153436,643.9748590266129,62.15688282988624,1781.1172877550694,472.9 (62.2 to 1781.1)
-9,2007,Carrickalinga South Bay,4000,4000,445.246389470925,608.2582364672987,61.60024839223153,1647.5875235638255,445.2 (61.6 to 1647.6)
-9,2007,Dodd's Beach,4000,4000,383.40157478127514,521.5564569411887,47.23741155977394,1492.0258074197745,383.4 (47.2 to 1492)
-9,2007,Fishery Beach,4000,4000,444.20882883217286,627.6604132464075,56.72905035609197,1877.863996019597,444.2 (56.7 to 1877.9)
-9,2007,Flat Irons,4000,4000,651.792161075962,892.0553723478747,90.05164870017914,2538.1456973717773,651.8 (90.1 to 2538.1)
-9,2007,Newland Head,4000,4000,629.6515473354707,907.0341664161716,90.3170983857868,2638.0126514428875,629.7 (90.3 to 2638)
-9,2007,Outside Granite Island,4000,4000,354.52484090128223,484.831203764468,50.700156836304885,1370.0621429445982,354.5 (50.7 to 1370.1)
-9,2007,Porpoise Head,4000,4000,832.1236056758626,1156.5941632142826,111.03734763566489,3267.6662950849154,832.1 (111 to 3267.7)
-9,2007,Rapid Head Windmill,4000,4000,328.30278904380486,451.2898927082277,45.98583525605575,1243.0786754793903,328.3 (46 to 1243.1)
-9,2007,Ripple Rock,4000,4000,743.7967608824808,1699.635367252126,59.159721631056925,6267.710196630504,743.8 (59.2 to 6267.7)
-9,2007,Shag Rock Carrickalinga,4000,4000,3.0140544572896033,204.19876727219324,0.0235261456322708,413.96244417028333,3 (0 to 414)
-9,2007,The Bluff,4000,4000,266.2674445974693,375.8912853185261,34.17833709658458,1050.059037794769,266.3 (34.2 to 1050.1)
-9,2007,West Island Outer,4000,4000,458.58506094507624,661.8011521057192,62.625800845870145,1933.03789805019,458.6 (62.6 to 1933)
-9,2007,Whalebone,4000,4000,13362751.992367106,5766970046226994e3,0.3151601246817159,55092442263558.67,13362752 (0.3 to 55092442263558.7)
-8,2008,Carrickalinga South Bay,4000,4000,458.1224095823017,633.2696975070066,63.35375276130426,1780.5846081057468,458.1 (63.4 to 1780.6)
-8,2008,Rapid Bay Jetty,4000,4000,921.2431943559372,1302.4020697285457,116.18725013283719,3686.982710069268,921.2 (116.2 to 3687)
-5,2011,Rapid Bay Jetty,4000,4000,891.2539730042646,1243.4454743806643,116.4243318121261,3557.83197241729,891.3 (116.4 to 3557.8)
-5,2011,Rapid Head East,4000,4000,423.11730367385394,591.0183732617318,58.00972414108189,1657.5713144375422,423.1 (58 to 1657.6)
-5,2011,Shag Rock Carrickalinga,4000,4000,32.56274096800617,181.09337599079672,1.5075485025645654,678.6164440336435,32.6 (1.5 to 678.6)
-4,2012,Carrickalinga Head,4000,4000,505.23616385999253,692.4780415284322,72.4887579662592,1953.879313697173,505.2 (72.5 to 1953.9)
-4,2012,Carrickalinga South Bay,4000,4000,528.6464262599209,716.071875702147,73.31302223390854,1987.3820022215612,528.6 (73.3 to 1987.4)
-4,2012,Dodd's Beach,4000,4000,410.237791138037,556.3477342440186,55.97848994939059,1569.9754311551008,410.2 (56 to 1570)
-4,2012,Flat Irons,4000,4000,675.1452458967947,924.0853461516531,93.18796401224152,2591.739033964861,675.1 (93.2 to 2591.7)
-4,2012,Normanville Beach,4000,4000,214.4008630978161,307.53147926266615,27.419896722336244,877.8062200893262,214.4 (27.4 to 877.8)
-4,2012,Rapid Bay Jetty,4000,4000,840.2122302553846,1159.1961875421637,112.53390574273106,3290.090629313617,840.2 (112.5 to 3290.1)
-4,2012,Rapid Head East,4000,4000,433.04719767538836,599.3062608514203,56.078620114017596,1679.913415601482,433 (56.1 to 1679.9)
-4,2012,Rapid Head Windmill,4000,4000,396.97694340245346,542.9188892628387,54.140538190357944,1521.3596850088072,397 (54.1 to 1521.4)
-4,2012,Shag Rock Carrickalinga,4000,4000,63.816120415955055,199.6941859855219,3.604792073131555,773.2092777155794,63.8 (3.6 to 773.2)
-4,2012,Whalebone,4000,4000,52230.330156836324,146613009.8413649,18.94262167731752,63722821.913612746,52230.3 (18.9 to 63722821.9)
-3,2013,Carrickalinga North3,4000,4000,342.75213931403687,477.92189999892696,48.22609373268578,1353.318864894114,342.8 (48.2 to 1353.3)
-3,2013,Carrickalinga South Bay,4000,4000,524.0286263412046,734.0727701293539,72.6105969726927,2080.3266003573217,524 (72.6 to 2080.3)
-3,2013,Normanville Beach,4000,4000,208.6645370728313,289.68316469621965,26.914490428711446,837.9281232942417,208.7 (26.9 to 837.9)
-3,2013,Olivers Reef,4000,4000,500.1320236934188,684.8424639059815,65.81513001488243,1915.0858794751564,500.1 (65.8 to 1915.1)
-3,2013,Rapid Head East,4000,4000,428.31944641592315,596.9282728339708,57.330423736467054,1703.830838768632,428.3 (57.3 to 1703.8)
-3,2013,The Bluff,4000,4000,321.88483627369754,438.28358874407866,42.76451910546758,1202.305512923253,321.9 (42.8 to 1202.3)
-3,2013,Whalebone,4000,4000,17015.77160617253,4166667.254153028,40.854930658277084,3977348.619092431,17015.8 (40.9 to 3977348.6)
-2,2014,Carrickalinga South Bay,4000,4000,555.7255838787434,763.8221699136756,74.57180587623625,2154.5685061296454,555.7 (74.6 to 2154.6)
-2,2014,Rapid Bay Jetty,4000,4000,835.6515956400706,1112.4238339863728,112.61642606414613,3025.8581010532307,835.7 (112.6 to 3025.9)
-2,2014,Rapid Head East,4000,4000,433.86268436821587,593.2312732914586,61.7140888265136,1660.4334350552879,433.9 (61.7 to 1660.4)
-2,2014,Shag Rock Carrickalinga,4000,4000,210.91846255535168,362.8498113036503,23.04307385245051,1142.2311555056513,210.9 (23 to 1142.2)
-1,2015,Broken Bottom,4000,4000,340.61393721664103,485.1985135873742,45.35482221961209,1427.6996372613512,340.6 (45.4 to 1427.7)
-1,2015,Horseshoe Inside,4000,4000,533.9797921311786,734.1631866137074,69.35580299129595,2112.074614543984,534 (69.4 to 2112.1)
-1,2015,Seacliff Reef,4000,4000,343.0819737724464,534.8103240971607,40.226037676178365,1656.6992421145146,343.1 (40.2 to 1656.7)
-1,2015,Southport,4000,4000,410.45856425543707,570.2406915458367,54.813104921587296,1590.8425595663155,410.5 (54.8 to 1590.8)
0,2016,Broken Bottom,4000,4000,398.9392865700911,533.099368625204,50.69766587057769,1450.3784800982116,398.9 (50.7 to 1450.4)
0,2016,Carrickalinga North3,4000,4000,343.62107374140015,468.38612823250224,47.282930741602,1329.7889962809543,343.6 (47.3 to 1329.8)
0,2016,Carrickalinga South Bay,4000,4000,604.1280297677808,811.292442241136,85.46577803589456,2181.9193872863825,604.1 (85.5 to 2181.9)
0,2016,Dodd's Beach,4000,4000,431.0215568277853,590.370374388593,59.22181300146829,1620.2556726775583,431 (59.2 to 1620.3)
0,2016,Horseshoe Inside,4000,4000,510.72375714929706,717.2065518101607,67.58081044482545,2080.405405697514,510.7 (67.6 to 2080.4)
0,2016,Moana Outside,4000,4000,828.4700262556398,1167.0266820740965,116.72579405050895,3284.054292706611,828.5 (116.7 to 3284.1)
0,2016,Noarlunga North Outside,4000,4000,912.92175590078,1236.991143956039,114.60710369633219,3499.7357695722226,912.9 (114.6 to 3499.7)
0,2016,Parham Reef,4000,4000,166.36899378690083,243.68378370351851,20.971649100074323,728.4610782046094,166.4 (21 to 728.5)
0,2016,Rapid Head East,4000,4000,444.7507894913297,599.4779999848771,61.27270263998499,1686.5196735644736,444.8 (61.3 to 1686.5)
0,2016,Ripple Rock,4000,4000,761.2106562564082,1061.663633699984,90.32706347829043,2991.795109028807,761.2 (90.3 to 2991.8)
0,2016,Seacliff Reef,4000,4000,721.5333847033032,996.2589796436574,96.89783292266415,2915.6130295341927,721.5 (96.9 to 2915.6)
0,2016,Semaphore Reef,4000,4000,125.19650587997339,203.56854555509187,12.982007123414467,668.626401295649,125.2 (13 to 668.6)
0,2016,Shag Rock Carrickalinga,4000,4000,713.9626962565856,979.5502688472596,91.67892980174783,2784.850597791556,714 (91.7 to 2784.9)
0,2016,Southport,4000,4000,404.65688774521544,568.5822111041632,56.000257215829876,1618.6030582575809,404.7 (56 to 1618.6)
1,2017,Aldinga Pinnacles,4000,4000,653.294702434911,895.4140056272831,90.38189255130246,2497.5768603125,653.3 (90.4 to 2497.6)
1,2017,Backstairs Deep,4000,4000,726.7292552463482,974.343752654354,98.55134143443574,2657.0673295707907,726.7 (98.6 to 2657.1)
1,2017,Basham's Beach,4000,4000,403.2218016141027,667.3115834129966,50.12369714770066,2066.7919130839427,403.2 (50.1 to 2066.8)
1,2017,Broken Bottom,4000,4000,438.65929221273757,601.34318410477,55.1774551198481,1706.5989782075947,438.7 (55.2 to 1706.6)
1,2017,Cape Jervis South,4000,4000,291.57599763202415,412.10035178908544,39.67259548439871,1174.026414841748,291.6 (39.7 to 1174)
1,2017,Carrickalinga Head,4000,4000,554.0920026260405,773.9540635105103,77.36497302146003,2194.305264077227,554.1 (77.4 to 2194.3)
1,2017,Carrickalinga North3,4000,4000,339.79691149535057,472.5173370322709,43.47920859404128,1314.276592627821,339.8 (43.5 to 1314.3)
1,2017,Carrickalinga South Bay,4000,4000,617.9231953121458,845.5733124657581,81.54309334726999,2338.036441946104,617.9 (81.5 to 2338)
1,2017,Chiton Rocks,4000,4000,292.53140348708473,429.463546796138,36.84349886692674,1279.212964026921,292.5 (36.8 to 1279.2)
