OBJECTID,MPNAME,RESTYPE,RES_NUM,ZONE_TYPE,ZONE_CODE,MPZoneID,ZONE_TYPCODE,ZONE_TIME,ZONE_NAME,SHAPEAREA,SHAPELEN
96,Investigator,MP,4,GMUZ,2,173,GMUZ-2,All Year,NA,54446319.72929,33586.7651785477
97,Neptune Islands Group,MP,7,HPZ,2,134,HPZ-2,All Year,NA,70925641.9751785,40349.0511373003
98,Upper South East,MP,18,HPZ,2,160,HPZ-2,All Year,NA,219941547.944225,87633.2709109456
99,Upper South East,MP,18,HPZ,1,159,HPZ-1,All Year,NA,59208796.727187,32488.9999223084
76,Eastern Spencer Gulf,MP,11,GMUZ,1,188,GMUZ-1,All Year,NA,244923000.117402,63533.9357672298
77,Lower Yorke Peninsula,MP,13,GMUZ,1,194,GMUZ-1,All Year,NA,123339256.794119,72488.45791491399
78,Upper Gulf St Vincent,MP,14,GMUZ,1,195,GMUZ-1,All Year,NA,28817455.7324405,27718.836873743203
79,Encounter,MP,15,HPZ,4,151,HPZ-4,All Year,NA,390580.8077795,11243.1363794848
80,Encounter,MP,15,GMUZ,1,197,GMUZ-1,All Year,NA,21112499.3497155,21276.221417326902
81,Encounter,MP,15,RAZ_L,3,99,RAZ-3,All Year,NA,18887.310688,881.93703913279
82,Encounter,MP,15,RAZ,4,101,RAZ-4,All Year,NA,47176.305945,1144.62521955335
83,Encounter,MP,15,GMUZ,7,203,GMUZ-7,All Year,NA,88723830.529514,44469.9198328599
84,Encounter,MP,15,SZ,8,71,SZ-8,All Year,Bay of Shoals,25107885.987071,26776.4722285872
85,Western Kangaroo Island,MP,16,HPZ,2,156,HPZ-2,All Year,NA,99298935.5730125,35326.741854829495
86,Southern Kangaroo Island,MP,17,HPZ,2,158,HPZ-2,All Year,NA,219491706.760546,58875.092848980705
87,Lower South East,MP,19,HPZ,3,165,HPZ-3,All Year,NA,67724965.313237,40336.066844798595
151,Encounter,MP,15,SZ,10,73,SZ-10,All Year,Sponge Gardens,59864408.3865575,39306.2530680772
152,Nuyts Archipelago,MP,2,SZ,7,10,SZ-7,All Year,Lound Island,16548252.3581285,16345.954491284401
153,Franklin Harbor,MP,9,GMUZ,1,184,GMUZ-1,All Year,NA,163579863.318001,71941.2469170987
154,Upper Spencer Gulf,MP,10,HPZ,1,138,HPZ-1,All Year,NA,254519101.065044,156357.11697026502
155,Upper Spencer Gulf,MP,10,GMUZ,2,187,GMUZ-2,All Year,NA,878702531.650371,305158.31419152
156,Southern Spencer Gulf,MP,12,RAZ_L,1,93,RAZ-1,All Year,NA,897742.166907,9896.10481256065
157,Eastern Spencer Gulf,MP,11,HPZ,2,142,HPZ-2,All Year,NA,217530915.184181,103755.3875194
158,Eastern Spencer Gulf,MP,11,GMUZ,2,189,GMUZ-2,All Year,NA,73708181.160542,43492.0561956258
108,Encounter,MP,15,HPZ,7,154,HPZ-7,All Year,NA,440578275.977297,181555.35371494
109,Western Kangaroo Island,MP,16,RAZ_L,2,104,RAZ-2,All Year,NA,74680.2298545,1186.00691995555
110,Western Kangaroo Island,MP,16,SZ,3,77,SZ-3,All Year,Cape du Couedic,27700655.6138295,28334.8404679825
111,Nuyts Archipelago,MP,2,GMUZ,2,167,GMUZ-2,All Year,NA,112553385.780526,56308.954702716306
112,Nuyts Archipelago,MP,2,GMUZ,3,168,GMUZ-3,All Year,NA,1422080060.38281,455433.864770015
113,Encounter,MP,15,GMUZ,3,199,GMUZ-3,All Year,NA,402281.822498,4465.9100927869595
114,Lower South East,MP,19,HPZ,2,164,HPZ-2,All Year,NA,39626141.1102595,25592.1536389784
115,Southern Spencer Gulf,MP,12,HPZ,2,144,HPZ-2,All Year,NA,949121873.705354,281871.438130802
122,Nuyts Archipelago,MP,2,HPZ,8,116,HPZ-8,All Year,NA,601962452.644533,220880.79500351602
123,West Coast Bays,MP,3,HPZ,1,117,HPZ-1,All Year,NA,275531594.814959,120203.008681308
124,West Coast Bays,MP,3,SZ,3,15,SZ-3,All Year,Point Labatt,7657017.3169695,14318.504699996
125,Investigator,MP,4,HPZ,2,120,HPZ-2,All Year,NA,360345204.555683,142936.820369054
116,Upper Spencer Gulf,MP,10,SZ,4,46,SZ-4,All Year,Yatala Harbor,28823541.344829,31535.2296491893
117,Nuyts Archipelago,MP,2,GMUZ,1,166,GMUZ-1,All Year,NA,71380427.535825,40358.0503008114
118,Nuyts Archipelago,MP,2,HPZ,3,111,HPZ-3,All Year,NA,52535436.203566,30678.836893024403
119,Nuyts Archipelago,MP,2,HPZ,4,112,HPZ-4,All Year,NA,57639041.613865,33248.623604655106
120,West Coast Bays,MP,3,GMUZ,1,171,GMUZ-1,All Year,NA,9426679.6546285,14412.2534722958
121,West Coast Bays,MP,3,RAZ_L,1,86,RAZ-1,All Year,NA,99155.8393045,1701.8011714639201
126,Nuyts Archipelago,MP,2,SZ,9,12,SZ-9,All Year,Barlows Beach,16558616.1958475,21833.723342722802
127,Nuyts Archipelago,MP,2,SZ,3,6,SZ-3,All Year,Nadia Landing,7531179.0759915,13135.6826177028
128,Nuyts Archipelago,MP,2,SZ,5,8,SZ-5,All Year,Creek Flats,5660469.3017595,12690.884790813301
129,Nuyts Archipelago,MP,2,SZ,2,5,SZ-2,All Year,Chadinga,53992684.408104,32279.0956121666
130,Nuyts Archipelago,MP,2,SZ,4,7,SZ-4,All Year,Davenport Creek,990210.831211,5121.41631068269
131,West Coast Bays,MP,3,SZ,9,21,SZ-9,All Year,Germein Island,1909166.521036,7240.82372737094
132,West Coast Bays,MP,3,SZ,4,16,SZ-4,All Year,West Tidal Flats,3372845.001297,8688.87064048132
133,West Coast Bays,MP,3,SZ,8,20,SZ-8,All Year,Deep Cork,6810052.8402315,12582.1792257661
134,Investigator,MP,4,GMUZ,3,174,GMUZ-3,All Year,NA,61477312.310294,35525.0207547371
135,Nuyts Archipelago,MP,2,HPZ,5,113,HPZ-5,All Year,NA,51311192.068584,29094.2395041266
136,Nuyts Archipelago,MP,2,GMUZ,4,169,GMUZ-4,All Year,NA,93368220.775362,39335.27149624281
137,West Coast Bays,MP,3,HPZ,2,118,HPZ-2,All Year,NA,431738365.047336,260116.5697233
138,Thorny Passage,MP,5,SZ,2,26,SZ-2,All Year,Yangie Bay,3044936.5963665,11987.8151115936
139,Thorny Passage,MP,5,SZ,3,27,SZ-3,All Year,Kellidie Bay,4543015.822163,11566.311448451399
140,Upper Spencer Gulf,MP,10,SZ,1,43,SZ-1,All Year,Head of the Gulf,2997577.3769505,11463.558916883301
141,Investigator,MP,4,SZ,3,24,SZ-3,All Year,Sheringa,28142783.6316965,23719.909693355803
142,Thorny Passage,MP,5,SZ,8,32,SZ-8,All Year,Sleaford Bay,54415455.8284605,32678.760849441904
143,Thorny Passage,MP,5,SZ,5,29,SZ-5,All Year,Mount Dutton Creek,3137426.7153975,9309.15901499561
144,Thorny Passage,MP,5,SZ,4,28,SZ-4,All Year,Mount Dutton Bay,3107315.593058,8080.94584842926
145,Thorny Passage,MP,5,SZ,1,25,SZ-1,All Year,Eely Point,4715635.564744,9834.254159632641
146,Encounter,MP,15,SZ,5,68,SZ-5,All Year,Rapid Head,49972486.608284,30123.5073421886
147,Upper Gulf St Vincent,MP,14,SZ,4,63,SZ-4,All Year,Light River Delta,15998469.9748355,31876.886019144702
148,Upper Gulf St Vincent,MP,14,HPZ,1,147,HPZ-1,All Year,NA,719719518.505939,194748.18464059598
149,Upper Spencer Gulf,MP,10,SZ,3,45,SZ-3,All Year,Blanche Harbor,33326279.9007695,42556.8048161107
150,Nuyts Archipelago,MP,2,HPZ,7,115,HPZ-7,All Year,NA,134225514.532806,113954.580422426
180,Upper South East,MP,18,SZ,3,81,SZ-3,All Year,Cape Dombey,367634.9150325,3705.73828578149
181,Nuyts Archipelago,MP,2,SZ,8,11,SZ-8,All Year,Isles of St Francis,133296615.386957,46599.8572627938
182,Lower South East,MP,19,SZ,2,83,SZ-2,All Year,Piccaninnie Ponds,10280010.8857375,13919.0493655193
183,Western Kangaroo Island,MP,16,RAZ_L,2,103,RAZ-2,All Year,NA,80593.916155,1614.54982144406
184,Encounter,MP,15,SZ,7,70,SZ-7,All Year,Coorong Beach North,21816111.199896,21072.5922757545
185,Encounter,MP,15,RAZ_L,2,98,RAZ-2,All Year,NA,57861.392755,992.861872288099
186,West Coast Bays,MP,3,SZ,7,19,SZ-7,All Year,Anxious Bay,31614228.4873595,24752.296184691902
187,Nuyts Archipelago,MP,2,HPZ,2,110,HPZ-2,All Year,NA,161741004.473922,71302.3118762308
188,Nuyts Archipelago,MP,2,HPZ,1,109,HPZ-1,All Year,NA,168155883.261768,117315.32486542
