FAMILY,GENUS,SPECIES,CODE,Min length,Max length 
Sphaeromatidae,Amphoroidea,elegans,28226007,NA,NA
Serolidae,Acutiserolis,poorei,28225033,NA,NA
Serolidae,Serolina,orriella,28225019,NA,NA
Serolidae,Serolina,yongei,28225020,NA,NA
Serolidae,Spinoserolis,beddardi,28225021,NA,NA
Serolidae,Myopiarolis,lippa,28225022,NA,NA
Serolidae,Myopiarolis,bicolor,28225023,NA,NA
Serolidae,Myopiarolis,carinata,28225024,NA,NA
Serolidae,Myopiarolis,norfanz,28225025,NA,NA
Serolidae,Thysanoserolis,orbicula,28225026,NA,NA
Serolidae,Acutiserolis,spinosa,28225027,NA,NA
Serolidae,Acutiserolis,johnstoni,28225028,NA,NA
Serolidae,Brucerolis,cidaris,28225029,NA,NA
Serolidae,Brucerolis,nowra,28225030,NA,NA
Serolidae,Spinoserolis,NA,28225908,NA,NA
Serolidae,Caecoserolis,bicolor,28225032,NA,NA
Cymothoidae,Ceratothoa,NA,28223903,NA,NA
Serolidae,Brucerolis,brandtae,28225034,NA,NA
Serolidae,Brucerolis,bromleyana,28225035,NA,NA
Serolidae,Brucerolis,howensis,28225036,NA,NA
Serolidae,Brucerolis,hurleyi,28225037,NA,NA
Serolidae,Brucerolis,osheai,28225038,NA,NA
Serolidae,Brucerolis,victoriensis,28225039,NA,NA
Serolidae,Frontoserolis,acuminata,28225040,NA,NA
Serolidae,Septemserolis,nobilis,28225041,NA,NA
Serolidae,Acutiserolis,NA,28225901,NA,NA
Serolidae,Brucerolis,NA,28225903,NA,NA
Serolidae,Caecoserolis,NA,28225904,NA,NA
Serolidae,Heteroserolis,NA,28225905,NA,NA
Serolidae,Caecoserolis,carinata,28225031,NA,NA
Cymothoidae,Nerocila,orbignyi,28223004,NA,NA
Cymothoidae,Anilocra,longicauda,28223017,NA,NA
Corallanidae,Corallana,nodosa,28221011,NA,NA
Corallanidae,Tachaea,caridophaga,28221012,NA,NA
Corallanidae,Lanocira,gardineri,28221013,NA,NA
Corallanidae,Lanocira,grebarree,28221014,NA,NA
Corallanidae,Alcirona,NA,28221901,NA,NA
Corallanidae,Argathona,NA,28221902,NA,NA
Corallanidae,Corallana,NA,28221903,NA,NA
Corallanidae,Lanocira,NA,28221904,NA,NA
Corallanidae,Tachaea,NA,28221905,NA,NA
Cymothoidae,NA,NA,28223e3,NA,NA
Cymothoidae,Nerocila,barramundae,28223001,NA,NA
Corallanidae,Corallana,estuaria,28221009,NA,NA
Cymothoidae,Nerocila,lomatia,28223003,NA,NA
Corallanidae,Argathona,rostrata,28221008,NA,NA
Cymothoidae,Nerocila,phaiopleura,28223005,NA,NA
Cymothoidae,Nerocila,monodi,28223006,NA,NA
Cymothoidae,Nerocila,serra,28223007,NA,NA
Cymothoidae,Creniola,laticauda,28223008,NA,NA
Cymothoidae,Creniola,saurida,28223009,NA,NA
Cymothoidae,Anilocra,alloceraea,28223010,NA,NA
Cymothoidae,Anilocra,ankistra,28223011,NA,NA
Cymothoidae,Anilocra,apogonae,28223012,NA,NA
Cymothoidae,Anilocra,caudata,28223013,NA,NA
Cymothoidae,Anilocra,dimidiata,28223014,NA,NA
Cymothoidae,Anilocra,koolanae,28223015,NA,NA
Cymothoidae,Cterissa,NA,28223905,NA,NA
Cymothoidae,Nerocila,congener,28223002,NA,NA
Cirolanidae,Orphelana,NA,28220918,NA,NA
Cirolanidae,Booralana,NA,28220904,NA,NA
Cirolanidae,Cartetolana,NA,28220905,NA,NA
Cirolanidae,Cirolana,NA,28220906,NA,NA
Cirolanidae,Dolicholana,NA,28220907,NA,NA
Cirolanidae,Eurydice,NA,28220908,NA,NA
Cirolanidae,Eurylana,NA,28220909,NA,NA
Cirolanidae,Excirolana,NA,28220910,NA,NA
Cirolanidae,Hansenolana,NA,28220911,NA,NA
Cirolanidae,Haptolana,NA,28220912,NA,NA
Cirolanidae,Kagalana,NA,28220913,NA,NA
Cirolanidae,Limicolana,NA,28220914,NA,NA
Cirolanidae,Metacirolana,NA,28220915,NA,NA
Corallanidae,Corallana,kulai,28221010,NA,NA
Cirolanidae,Neocirolana,NA,28220917,NA,NA
Cymothoidae,Anilocra,morsicata,28223018,NA,NA
Cirolanidae,Plakolana,NA,28220919,NA,NA
Cirolanidae,Politolana,NA,28220920,NA,NA
Cirolanidae,Pontogelos,NA,28220921,NA,NA
Cirolanidae,Pseudolana,NA,28220922,NA,NA
Corallanidae,NA,NA,28221e3,NA,NA
Corallanidae,Alcirona,maldivensis,28221001,NA,NA
Corallanidae,Alcirona,multidigitata,28221002,NA,NA
Corallanidae,Argathona,confine,28221003,NA,NA
Corallanidae,Argathona,crenulata,28221004,NA,NA
Corallanidae,Argathona,macronema,28221005,NA,NA
Corallanidae,Argathona,parca,28221006,NA,NA
Corallanidae,Argathona,rhinoceros,28221007,NA,NA
Cirolanidae,Natatolana,NA,28220916,NA,NA
Cymothoidae,Norileca,indica,28223062,NA,NA
Cymothoidae,Anilocra,leptosoma,28223016,NA,NA
Cymothoidae,Elthusa,turgidula,28223049,NA,NA
Cymothoidae,Smenispa,irregularis,28223050,NA,NA
Cymothoidae,Glossobius,anctus,28223051,NA,NA
Cymothoidae,Ichthyoxenus,minabensis,28223052,NA,NA
Cymothoidae,Mothocya,arrosor,28223053,NA,NA
Cymothoidae,Mothocya,collettei,28223054,NA,NA
Cymothoidae,Mothocya,girellae,28223055,NA,NA
Cymothoidae,Mothocya,halei,28223056,NA,NA
Cymothoidae,Mothocya,karobran,28223057,NA,NA
Cymothoidae,Mothocya,melanosticta,28223058,NA,NA
Cymothoidae,Mothocya,plagulophora,28223059,NA,NA
Cymothoidae,Elthusa,sacciger,28223047,NA,NA
Cymothoidae,Mothocya,waminda,28223061,NA,NA
Cymothoidae,Elthusa,raynaudii,28223046,NA,NA
Cymothoidae,Norileca,triangulata,28223063,NA,NA
Cymothoidae,Ourozeuktes,bopyroides,28223064,NA,NA
Cymothoidae,Renocila,alkoo,28223065,NA,NA
Cymothoidae,Renocila,curtipinnata,28223066,NA,NA
Cymothoidae,Renocila,ovata,28223067,NA,NA
Cymothoidae,Renocila,plesiopi,28223068,NA,NA
Cymothoidae,Tetragonocephalon,lutianus,28223069,NA,NA
Cymothoidae,Ceratothoa,carinata,28223070,NA,NA
Cymothoidae,Ceratothoa,oxyrrhynchaena,28223071,NA,NA
Cymothoidae,Ourozeuktes,owenii,28223072,NA,NA
Cymothoidae,Anilocra,NA,28223901,NA,NA
Cymothoidae,Catoessa,NA,28223902,NA,NA
Cymothoidae,Mothocya,renardi,28223060,NA,NA
Cymothoidae,Cymothoa,epimerica,28223033,NA,NA
Cymothoidae,Anilocra,nemipteri,28223019,NA,NA
Cymothoidae,Anilocra,pomacentri,28223020,NA,NA
Cymothoidae,Anilocra,soelae,28223021,NA,NA
Cymothoidae,Catoessa,ambassae,28223022,NA,NA
Cymothoidae,Ceratothoa,guttata,28223023,NA,NA
Cymothoidae,Ceratothoa,imbricata,28223024,NA,NA
Cymothoidae,Ceratothoa,retusa,28223025,NA,NA
Cymothoidae,Ceratothoa,banksii,28223026,NA,NA
Cymothoidae,Ceratothoa,trillesi,28223027,NA,NA
Cymothoidae,Ceratothoa,usacarangis,28223028,NA,NA
Cymothoidae,Cterissa,australiensis,28223029,NA,NA
Cymothoidae,Cymothoa,bychowskyi,28223030,NA,NA
Cymothoidae,Elthusa,sigani,28223048,NA,NA
Cymothoidae,Cymothoa,curta,28223032,NA,NA
Keuphyliidae,Keuphylia,NA,28213901,NA,NA
Cymothoidae,Cymothoa,frontalis,28223034,NA,NA
Cymothoidae,Cymothoa,indica,28223035,NA,NA
Cymothoidae,Cymothoa,eremita,28223036,NA,NA
Cymothoidae,Cymothoa,parupenei,28223037,NA,NA
Cymothoidae,Cymothoa,plebeia,28223038,NA,NA
Cymothoidae,Cymothoa,propria,28223039,NA,NA
Cymothoidae,Cymothoa,pulchrum,28223040,NA,NA
Cymothoidae,Cymothoa,rotunda,28223041,NA,NA
Cymothoidae,Cymothoa,vicina,28223042,NA,NA
Cymothoidae,Elthusa,myripristae,28223043,NA,NA
Cymothoidae,Elthusa,neocytta,28223044,NA,NA
Cymothoidae,Elthusa,propinqua,28223045,NA,NA
Cymothoidae,Cymothoa,carangi,28223031,NA,NA
Crangonidae,Philocheras,flindersi,28781009,NA,NA
Glyphocrangonidae,Glyphocrangon,sibogae,28780016,NA,NA
Glyphocrangonidae,Glyphocrangon,NA,28780017,NA,NA
Glyphocrangonidae,Glyphocrangon,demani,28780018,NA,NA
Glyphocrangonidae,Glyphocrangon,NA,28780901,NA,NA
Crangonidae,NA,NA,28781e3,NA,NA
Crangonidae,Parapontocaris,levigata,28781001,NA,NA
Crangonidae,Parapontophilus,gracilis,28781002,NA,NA
Crangonidae,Paracrangon,australis,28781003,NA,NA
Crangonidae,Aegaeon,lacazei,28781004,NA,NA
Crangonidae,Aegaeon,rathbunae,28781005,NA,NA
Crangonidae,Notocrangon,antarcticus,28781006,NA,NA
Palaemonidae,Cuapetes,elegans,28756144,NA,NA
Crangonidae,Parapontophilus,profundus,28781008,NA,NA
Glyphocrangonidae,Glyphocrangon,dimorpha,28780013,NA,NA
Crangonidae,Philocheras,intermedius,28781010,NA,NA
Crangonidae,Philocheras,lowisi,28781011,NA,NA
Crangonidae,Philocheras,obliquus,28781012,NA,NA
Crangonidae,Philocheras,pilosus,28781013,NA,NA
Crangonidae,Philocheras,planoculminus,28781014,NA,NA
Crangonidae,Philocheras,victoriensis,28781015,NA,NA
Crangonidae,Pontocaris,arafurae,28781016,NA,NA
Crangonidae,Pontocaris,propensalata,28781017,NA,NA
Crangonidae,Pontophilus,candidus,28781018,NA,NA
Crangonidae,Vercoia,gibbosa,28781019,NA,NA
Crangonidae,Lissosabinea,lynseyae,28781020,NA,NA
Crangonidae,Philocheras,brucei,28781021,NA,NA
Crangonidae,Parapontophilus,abyssi,28781007,NA,NA
Glyphocrangonidae,Glyphocrangon,faxoni,28780001,NA,NA
Pandalidae,Stylopandalus,NA,28770909,NA,NA
Pandalidae,Dorodotes,NA,28770910,NA,NA
Thalassocarididae,NA,NA,28771e3,NA,NA
Thalassocarididae,Thalassocaris,crinita,28771001,NA,NA
Thalassocarididae,Thalassocaris,lucida,28771002,NA,NA
Thalassocarididae,Thalassocaris,NA,28771003,NA,NA
Thalassocarididae,Chlorotocoides,spinicauda,28771004,NA,NA
Thalassocarididae,Thalassocaris,NA,28771005,NA,NA
Thalassocarididae,Chlorotocoides,NA,28771901,NA,NA
Thalassocarididae,Thalassocaris,NA,28771902,NA,NA
Physetocarididae,NA,NA,28775e3,NA,NA
Physetocarididae,Physetocaris,microphthalma,28775001,NA,NA
Glyphocrangonidae,Glyphocrangon,richeri,28780015,NA,NA
Glyphocrangonidae,NA,NA,2878e4,NA,NA
Glyphocrangonidae,Glyphocrangon,proxima,28780014,NA,NA
Glyphocrangonidae,Glyphocrangon,pugnax,28780002,NA,NA
Glyphocrangonidae,Glyphocrangon,regalis,28780003,NA,NA
Glyphocrangonidae,Glyphocrangon,kapala,28780004,NA,NA
Glyphocrangonidae,Glyphocrangon,holthuisi,28780005,NA,NA
Glyphocrangonidae,Glyphocrangon,lowryi,28780006,NA,NA
Glyphocrangonidae,Glyphocrangon,novacastellum,28780007,NA,NA
Glyphocrangonidae,Glyphocrangon,elephas,28780008,NA,NA
Glyphocrangonidae,Glyphocrangon,hakuhoae,28780009,NA,NA
Glyphocrangonidae,Glyphocrangon,confusa,28780010,NA,NA
Glyphocrangonidae,Glyphocrangon,lineata,28780011,NA,NA
Glyphocrangonidae,Glyphocrangon,tasmanica,28780012,NA,NA
Crangonidae,Pontocaris,pennata,28781024,NA,NA
Physetocarididae,Physetocaris,NA,28775901,NA,NA
Nephropidae,NA,NA,28786e3,NA,NA
Crangonidae,Philocheras,triangulus,28781022,NA,NA
Crangonidae,Metacrangon,poorei,28781054,NA,NA
Crangonidae,Aegaeon,NA,28781901,NA,NA
Crangonidae,Lissosabinea,NA,28781902,NA,NA
Crangonidae,Metacrangon,NA,28781903,NA,NA
Crangonidae,Notocrangon,NA,28781904,NA,NA
Crangonidae,Paracrangon,NA,28781905,NA,NA
Crangonidae,Parapontocaris,NA,28781906,NA,NA
Crangonidae,Parapontophilus,NA,28781907,NA,NA
Crangonidae,Philocheras,NA,28781908,NA,NA
Crangonidae,Pontocaris,NA,28781909,NA,NA
Crangonidae,Pontophilus,NA,28781910,NA,NA
Crangonidae,Metacrangon,karubar,28781052,NA,NA
Infraorders Astacidea and Achelata,NA,NA,28784e3,NA,NA
Crangonidae,Metacrangon,clevai,28781051,NA,NA
Nephropidae,Metanephrops,australiensis,28786001,NA,NA
Nephropidae,Metanephrops,boschmai,28786002,NA,NA
Nephropidae,Metanephrops,neptunus,28786003,NA,NA
Nephropidae,Metanephrops,sibogae,28786004,NA,NA
Nephropidae,Metanephrops,velutinus,28786005,NA,NA
Nephropidae,Nephropsis,acanthura,28786006,NA,NA
Nephropidae,Nephropsis,serrata,28786007,NA,NA
Nephropidae,Nephropsis,stewarti,28786008,NA,NA
Nephropidae,Nephropsis,suhmi,28786009,NA,NA
Nephropidae,Acanthacaris,tenuimana,28786010,NA,NA
Nephropidae,Nephropsis,holthuisi,28786011,NA,NA
Nephropidae,Nephropsis,sulcata,28786012,NA,NA
Crangonidae,Vercoia,NA,28781911,NA,NA
Crangonidae,Metacrangon,spinidorsalis,28781038,NA,NA
Pandalidae,Notopandalus,NA,28770906,NA,NA
Crangonidae,Parapontophilus,junceus,28781025,NA,NA
Crangonidae,Lissosabinea,beresfordi,28781026,NA,NA
Crangonidae,Lissosabinea,indica,28781027,NA,NA
Crangonidae,Lissosabinea,ecarina,28781028,NA,NA
Crangonidae,Lissosabinea,arthuri,28781029,NA,NA
Crangonidae,Philocheras,angustirostris,28781030,NA,NA
Crangonidae,Philocheras,anthonyi,28781031,NA,NA
Crangonidae,Philocheras,incisus,28781032,NA,NA
Crangonidae,Philocheras,japonicus,28781033,NA,NA
Crangonidae,Philocheras,modestus,28781034,NA,NA
Crangonidae,Philocheras,plebs,28781035,NA,NA
Crangonidae,Metacrangon,australis,28781053,NA,NA
Crangonidae,Pontophilus,NA,28781037,NA,NA
Crangonidae,Parapontocaris,aspera,28781023,NA,NA
Crangonidae,Parapontophilus,NA,28781039,NA,NA
Crangonidae,Metacrangon,haona,28781040,NA,NA
Crangonidae,Metacrangon,hikurangi,28781041,NA,NA
Crangonidae,Metacrangon,rau,28781042,NA,NA
Crangonidae,Metacrangon,teina,28781043,NA,NA
Crangonidae,Metacrangon,knoxi,28781044,NA,NA
Crangonidae,Metacrangon,richardsoni,28781045,NA,NA
Crangonidae,Parapontophilus,difficilis,28781046,NA,NA
Crangonidae,Parapontophilus,geminus,28781047,NA,NA
Crangonidae,Parapontophilus,longirostris,28781048,NA,NA
Crangonidae,Parapontophilus,demani,28781049,NA,NA
Crangonidae,Metacrangon,punctata,28781050,NA,NA
Crangonidae,Philocheras,poorei,28781036,NA,NA
Processidae,Processa,barnardi,28768008,NA,NA
Pandalidae,Heterocarpus,hayashii,28770004,NA,NA
Hippolytidae,Phycocaris,NA,28767915,NA,NA
Hippolytidae,Saron,NA,28767916,NA,NA
Hippolytidae,Thorella,NA,28767919,NA,NA
Hippolytidae,Tozeuma,NA,28767920,NA,NA
Hippolytidae,NA,NA,28767951,NA,NA
Processidae,NA,NA,28768e3,NA,NA
Processidae,Hayashidonus,japonica,28768001,NA,NA
Processidae,Nikoides,danae,28768002,NA,NA
Processidae,Nikoides,gurneyi,28768003,NA,NA
Processidae,Nikoides,maldivensis,28768004,NA,NA
Processidae,Nikoides,steinii,28768005,NA,NA
Hippolytidae,Merhippolyte,NA,28767912,NA,NA
Processidae,Processa,australiensis,28768007,NA,NA
Hippolytidae,Leontocaris,NA,28767909,NA,NA
Processidae,Processa,dimorpha,28768009,NA,NA
Processidae,Processa,gracilis,28768010,NA,NA
Processidae,Processa,sulcata,28768011,NA,NA
Processidae,Processa,longirostris,28768012,NA,NA
Processidae,Nikoides,sibogae,28768013,NA,NA
Processidae,Hayashidonus,NA,28768901,NA,NA
Processidae,Nikoides,NA,28768902,NA,NA
Processidae,Processa,NA,28768903,NA,NA
Pandalidae,NA,NA,2877e4,NA,NA
Pandalidae,Chlorotocus,novaezealandiae,28770001,NA,NA
Pandalidae,Heterocarpus,dorsalis,28770002,NA,NA
Pandalidae,Procletes,NA,28770908,NA,NA
Processidae,Processa,aequimana,28768006,NA,NA
Hippolytidae,Leontocaris,alexander,28767052,NA,NA
Hippolytidae,Hippolyte,ignobilis,28767019,NA,NA
Hippolytidae,Hippolyte,ventricosa,28767020,NA,NA
Hippolytidae,Latreutes,anoplonyx,28767021,NA,NA
Hippolytidae,Latreutes,compressus,28767022,NA,NA
Hippolytidae,Latreutes,mucronatus,28767023,NA,NA
Hippolytidae,Latreutes,planirostris,28767024,NA,NA
Hippolytidae,Nauticaris,marionis,28767028,NA,NA
Hippolytidae,Phycocaris,simulans,28767030,NA,NA
Hippolytidae,Saron,neglectus,28767031,NA,NA
Hippolytidae,Thorella,cobourgi,28767036,NA,NA
Hippolytidae,Tozeuma,kimberi,28767037,NA,NA
Hippolytidae,Tozeuma,pavoninum,28767038,NA,NA
Hippolytidae,Nauticaris,NA,28767913,NA,NA
Hippolytidae,Tozeuma,armatum,28767046,NA,NA
Pandalidae,Heterocarpus,sibogae,28770005,NA,NA
Hippolytidae,Merhippolyte,NA,28767053,NA,NA
Hippolytidae,Alcyonohippolyte,dossena,28767054,NA,NA
Hippolytidae,Alcyonohippolyte,commensalis,28767055,NA,NA
Hippolytidae,Alcyonohippolyte,maculata,28767056,NA,NA
Hippolytidae,Alcyonohippolyte,tenuicarpus,28767058,NA,NA
Hippolytidae,Alcyonohippolyte,tubiporae,28767059,NA,NA
Hippolytidae,Alcyonohippolyte,NA,28767901,NA,NA
Hippolytidae,Alope,NA,28767902,NA,NA
Hippolytidae,Chorismus,NA,28767903,NA,NA
Hippolytidae,Gelastocaris,NA,28767905,NA,NA
Hippolytidae,Hippolyte,NA,28767906,NA,NA
Hippolytidae,Latreutes,NA,28767907,NA,NA
Hippolytidae,Tozeuma,tomentosum,28767039,NA,NA
Pandalidae,Plesionika,philippinensis,28770049,NA,NA
Pandalidae,Heterocarpus,corona,28770003,NA,NA
Pandalidae,Plesionika,parvimartia,28770036,NA,NA
Pandalidae,Plesionika,pumila,28770037,NA,NA
Pandalidae,Plesionika,spinidorsalis,28770038,NA,NA
Pandalidae,Plesionika,unidens,28770039,NA,NA
Pandalidae,Procletes,levicarina,28770040,NA,NA
Pandalidae,Chlorocurtis,jactans,28770041,NA,NA
Pandalidae,Plesionika,albocristata,28770042,NA,NA
Pandalidae,Plesionika,crosnieri,28770043,NA,NA
Pandalidae,Plesionika,echinicola,28770044,NA,NA
Pandalidae,Plesionika,izumiae,28770045,NA,NA
Pandalidae,Plesionika,narval,28770046,NA,NA
Pandalidae,Plesionika,lophotes,28770034,NA,NA
Pandalidae,Heterocarpus,NA,28770048,NA,NA
Pandalidae,Plesionika,laurentae,28770033,NA,NA
Pandalidae,Plesionika,serratifrons,28770050,NA,NA
Pandalidae,Plesionika,fimbriata,28770051,NA,NA
Pandalidae,Plesionika,acinacifer,28770052,NA,NA
Pandalidae,Chlorotocus,NA,28770053,NA,NA
Pandalidae,Plesionika,NA,28770054,NA,NA
Pandalidae,Plesionika,rostricrescentis,28770055,NA,NA
Pandalidae,Plesionika,NA,28770901,NA,NA
Pandalidae,Chlorocurtis,NA,28770902,NA,NA
Pandalidae,Chlorotocella,NA,28770903,NA,NA
Pandalidae,Chlorotocus,NA,28770904,NA,NA
Pandalidae,Heterocarpus,NA,28770905,NA,NA
Nephropidae,Thaumastochelopsis,brucei,28786015,NA,NA
Pandalidae,Plesionika,sindoi,28770047,NA,NA
Pandalidae,Plesionika,edwardsi,28770020,NA,NA
Pandalidae,Heterocarpus,tricarinatus,28770006,NA,NA
Pandalidae,Heterocarpus,woodmasoni,28770007,NA,NA
Pandalidae,Notopandalus,magnoculus,28770008,NA,NA
Pandalidae,Parapandalus,costelloi,28770009,NA,NA
Pandalidae,Stylopandalus,richardi,28770010,NA,NA
Pandalidae,Plesionika,ensis,28770011,NA,NA
Pandalidae,Plesionika,grandis,28770012,NA,NA
Pandalidae,Plesionika,indica,28770013,NA,NA
Pandalidae,Plesionika,martia,28770014,NA,NA
Pandalidae,Plesionika,orientalis,28770015,NA,NA
Pandalidae,Plesionika,quasigrandis,28770016,NA,NA
Pandalidae,Plesionika,semilaevis,28770017,NA,NA
Pandalidae,Plesionika,ocellus,28770035,NA,NA
Pandalidae,Plesionika,bifurca,28770019,NA,NA
Pandalidae,Parapandalus,NA,28770907,NA,NA
Pandalidae,Plesionika,grahami,28770021,NA,NA
Pandalidae,Plesionika,reflexa,28770022,NA,NA
Pandalidae,Plesionika,spinipes,28770023,NA,NA
Pandalidae,Heterocarpus,parvispina,28770024,NA,NA
Pandalidae,Chlorotocella,spinicaudus,28770025,NA,NA
Pandalidae,Chlorotocella,gracilis,28770026,NA,NA
Pandalidae,Chlorotocus,crassicornis,28770027,NA,NA
Pandalidae,Heterocarpus,calmani,28770028,NA,NA
Pandalidae,Heterocarpus,intermedius,28770029,NA,NA
Pandalidae,Heterocarpus,laevigatus,28770030,NA,NA
Pandalidae,Heterocarpus,longirostris,28770031,NA,NA
Pandalidae,Plesionika,binoculus,28770032,NA,NA
Pandalidae,Plesionika,alcocki,28770018,NA,NA
Parastacidae,Ombrastacoides,parvicaudatus,28795139,NA,NA
Parastacidae,Gramastacus,NA,28795908,NA,NA
Parastacidae,Cherax,tenuimanus,28795126,NA,NA
Parastacidae,Euastacus,dalagarbe,28795127,NA,NA
Parastacidae,Euastacus,girurmulayn,28795128,NA,NA
Parastacidae,Euastacus,guruhgi,28795129,NA,NA
Parastacidae,Euastacus,jagabar,28795130,NA,NA
Parastacidae,Ombrastacoides,pulcher,28795131,NA,NA
Parastacidae,Ombrastacoides,asperrimanus,28795132,NA,NA
Parastacidae,Ombrastacoides,brevirostris,28795133,NA,NA
Parastacidae,Ombrastacoides,decemdentatus,28795134,NA,NA
Parastacidae,Ombrastacoides,denisoni,28795135,NA,NA
Parastacidae,Ombrastacoides,dissitus,28795136,NA,NA
Parastacidae,Spinastacoides,insignis,28795124,NA,NA
Parastacidae,Ombrastacoides,ingressus,28795138,NA,NA
Parastacidae,Spinastacoides,inermis,28795123,NA,NA
Parastacidae,Ombrastacoides,professorum,28795140,NA,NA
Parastacidae,Spinastacoides,catinipalmus,28795141,NA,NA
Parastacidae,Cherax,crassimanus,28795142,NA,NA
Parastacidae,Euastacus,morgani,28795143,NA,NA
Parastacidae,Gramastacus,lacus,28795144,NA,NA
Parastacidae,NA,NA,28795901,NA,NA
Parastacidae,Astacopsis,NA,28795902,NA,NA
Parastacidae,Cherax,NA,28795903,NA,NA
Parastacidae,Engaeus,NA,28795904,NA,NA
Parastacidae,Engaewa,NA,28795905,NA,NA
Parastacidae,Euastacus,NA,28795906,NA,NA
Parastacidae,Engaeus,martigener,28795095,NA,NA
Parastacidae,Ombrastacoides,huonensis,28795137,NA,NA
Parastacidae,Engaeus,victoriensis,28795110,NA,NA
Nephropidae,Thaumastocheles,dochmiodon,28786013,NA,NA
Parastacidae,Engaeus,nulloporius,28795097,NA,NA
Parastacidae,Engaeus,orientalis,28795098,NA,NA
Parastacidae,Engaeus,orramakunna,28795099,NA,NA
Parastacidae,Engaeus,phyllocercus,28795100,NA,NA
Parastacidae,Engaeus,quadrimanus,28795101,NA,NA
Parastacidae,Engaeus,rostrogaleatus,28795102,NA,NA
Parastacidae,Engaeus,sericatus,28795103,NA,NA
Parastacidae,Engaeus,spinicaudatus,28795104,NA,NA
Parastacidae,Engaeus,sternalis,28795105,NA,NA
Parastacidae,Engaeus,strictifrons,28795106,NA,NA
Parastacidae,Engaeus,tayatea,28795107,NA,NA
Parastacidae,Tenuibranchiurus,glypticus,28795125,NA,NA
Parastacidae,Engaeus,urostrictus,28795109,NA,NA
Parastacidae,Ombrastacoides,NA,28795909,NA,NA
Parastacidae,Engaeus,yabbimunna,28795111,NA,NA
Parastacidae,Engaewa,pseudoreducta,28795112,NA,NA
Parastacidae,Engaewa,reducta,28795113,NA,NA
Parastacidae,Engaewa,similis,28795114,NA,NA
Parastacidae,Engaewa,subcoerula,28795115,NA,NA
Parastacidae,Engaewa,walpolea,28795116,NA,NA
Parastacidae,Euastacus,alienus,28795117,NA,NA
Parastacidae,Euastacus,yigara,28795118,NA,NA
Parastacidae,Geocharax,falcata,28795119,NA,NA
Parastacidae,Geocharax,tasmanicus,28795120,NA,NA
Parastacidae,Gramastacus,insolitus,28795121,NA,NA
Parastacidae,Ombrastacoides,leptomerus,28795122,NA,NA
Parastacidae,Engaeus,tuberculatus,28795108,NA,NA
Axiidae,Australocaris,pinjarup,28801027,NA,NA
Parastacidae,Geocharax,NA,28795907,NA,NA
Axiidae,Calaxius,acutirostris,28801014,NA,NA
Axiidae,Eiconaxius,kimbla,28801015,NA,NA
Axiidae,Paraxiopsis,austrinus,28801016,NA,NA
Axiidae,Paraxiopsis,pumilus,28801017,NA,NA
Axiidae,Oxyrhynchaxius,manningi,28801018,NA,NA
Axiidae,Platyaxius,brevirostris,28801019,NA,NA
Axiidae,Spongiaxius,brucei,28801020,NA,NA
Axiidae,Axiopsis,tsushimaensis,28801021,NA,NA
Axiidae,Acanthaxius,clevai,28801022,NA,NA
Axiidae,Acanthaxius,garawa,28801023,NA,NA
Axiidae,Acanthaxius,gathaagudu,28801024,NA,NA
Axiidae,Ambiaxius,franklinae,28801012,NA,NA
Axiidae,Allaxius,clypeatus,28801026,NA,NA
Axiidae,Acanthaxius,polychaetes,28801011,NA,NA
Axiidae,Axiopsis,serratifrons,28801028,NA,NA
Axiidae,Calastacus,myalup,28801029,NA,NA
Axiidae,Eiconaxius,mallacoota,28801030,NA,NA
Axiidae,Michelaxiopsis,nauo,28801031,NA,NA
Axiidae,Pilbaraxius,kariyarra,28801032,NA,NA
Axiidae,Planaxius,brevifrons,28801033,NA,NA
Axiidae,Platyaxius,bardi,28801034,NA,NA
Axiidae,Bouvieraxius,michelae,28801035,NA,NA
Axiidae,Paraxiopsis,dianae,28801036,NA,NA
Axiidae,Calocarides,NA,28801037,NA,NA
Axiidae,Spongiaxius,novaezealandiae,28801038,NA,NA
Axiidae,Ambiaxius,NA,28801901,NA,NA
Axiidae,Acanthaxius,ningaloo,28801025,NA,NA
Thalassinidae,Thalassina,kelanang,28800009,NA,NA
Parastacidae,Spinastacoides,NA,28795910,NA,NA
Parastacidae,Tenuibranchiurus,NA,28795911,NA,NA
Anacalliacidae,NA,NA,28797e3,NA,NA
Calocarididae,NA,NA,28798e3,NA,NA
"Infraorders Axiidea, Gebiidea",NA,NA,28799e3,NA,NA
Thalassinidae,NA,NA,288e5,NA,NA
Thalassinidae,Thalassina,squamifera,28800001,NA,NA
Thalassinidae,Thalassina,australiensis,28800002,NA,NA
Thalassinidae,Thalassina,anomola,28800003,NA,NA
Thalassinidae,Thalassina,gracilis,28800004,NA,NA
Thalassinidae,Thalassina,krempfi,28800005,NA,NA
Thalassinidae,Thalassina,spinosa,28800006,NA,NA
Axiidae,Bouvieraxius,keiensis,28801013,NA,NA
Thalassinidae,Thalassina,saetichelis,28800008,NA,NA
Parastacidae,Engaeus,mallacoota,28795094,NA,NA
Thalassinidae,Thalassina,NA,28800901,NA,NA
Axiidae,NA,NA,28801e3,NA,NA
Axiidae,Dorphinaxius,kermadecensis,28801001,NA,NA
Axiidae,Michelaxiopsis,australiensis,28801002,NA,NA
Axiidae,Paraxiopsis,brocki,28801003,NA,NA
