sr,GSiteID,SurveyID,TransectID,LocalBlock,SurveyDate,SiteName,Subregion,Sanctuary,tax,time
19,3,20,69,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-307238400
12,3,20,69,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-307238400
19,3,20,70,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-307238400
9,3,20,70,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-307238400
23,3,20,71,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-307238400
6,3,20,71,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-307238400
22,3,20,72,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-307238400
4,3,20,72,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-307238400
11,3,21,73,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Fish,47088e3
8,3,21,73,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Invert,47088e3
12,3,21,74,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Fish,47088e3
7,3,21,74,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Invert,47088e3
9,3,21,75,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Fish,47088e3
5,3,21,75,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Invert,47088e3
5,3,21,76,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Fish,47088e3
3,3,21,76,1,2018-05-16T00:00:00Z,Carrickalinga Head,4,Inside,Invert,47088e3
4,3,144,564,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-150854400
3,3,144,564,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-150854400
7,3,144,565,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-150854400
8,3,144,565,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-150854400
10,3,144,566,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-150854400
9,3,144,566,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-150854400
6,3,144,567,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-150854400
6,3,144,567,1,2012-02-06T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-150854400
18,3,151,588,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Fish,11145600
6,3,151,588,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Invert,11145600
18,3,151,589,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Fish,11145600
6,3,151,589,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Invert,11145600
18,3,151,590,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Fish,11145600
9,3,151,590,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Invert,11145600
10,3,151,591,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Fish,11145600
4,3,151,591,1,2017-03-26T00:00:00Z,Carrickalinga Head,4,Inside,Invert,11145600
17,9,53,200,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Fish,-368841600
4,9,53,200,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Invert,-368841600
18,9,53,201,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Fish,-368841600
3,9,53,201,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Invert,-368841600
14,9,53,202,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Fish,-368841600
6,9,53,202,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Invert,-368841600
28,9,53,203,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Fish,-368841600
7,9,53,203,1,2005-03-11T00:00:00Z,Dodd's Beach,4,Inside,Invert,-368841600
6,9,54,204,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Fish,-338342400
7,9,54,204,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Invert,-338342400
8,9,54,205,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Fish,-338342400
6,9,54,205,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Invert,-338342400
13,9,54,206,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Fish,-338342400
4,9,54,206,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Invert,-338342400
17,9,54,207,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Fish,-338342400
3,9,54,207,1,2006-02-27T00:00:00Z,Dodd's Beach,4,Inside,Invert,-338342400
10,9,55,208,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Fish,-306979200
7,9,55,208,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Invert,-306979200
13,9,55,209,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Fish,-306979200
5,9,55,209,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Invert,-306979200
15,9,55,210,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Fish,-306979200
7,9,55,210,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Invert,-306979200
17,9,55,211,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Fish,-306979200
3,9,55,211,1,2007-02-25T00:00:00Z,Dodd's Beach,4,Inside,Invert,-306979200
6,9,56,212,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Fish,-150508800
5,9,56,212,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Invert,-150508800
9,9,56,213,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Fish,-150508800
7,9,56,213,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Invert,-150508800
9,9,56,214,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Fish,-150508800
10,9,56,214,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Invert,-150508800
16,9,56,215,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Fish,-150508800
9,9,56,215,1,2012-02-10T00:00:00Z,Dodd's Beach,4,Inside,Invert,-150508800
16,9,57,216,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Fish,-24364800
3,9,57,216,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Invert,-24364800
23,9,57,217,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Fish,-24364800
6,9,57,217,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Invert,-24364800
8,9,57,218,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Fish,-24364800
6,9,57,218,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Invert,-24364800
13,9,57,219,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Fish,-24364800
8,9,57,219,1,2016-02-09T00:00:00Z,Dodd's Beach,4,Inside,Invert,-24364800
13,9,58,220,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Fish,11923200
7,9,58,220,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Invert,11923200
21,9,58,221,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Fish,11923200
3,9,58,221,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Invert,11923200
16,9,58,222,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Fish,11923200
6,9,58,222,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Invert,11923200
12,9,58,223,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Fish,11923200
8,9,58,223,1,2017-04-04T00:00:00Z,Dodd's Beach,4,Inside,Invert,11923200
20,9,59,224,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Fish,4104e4
5,9,59,224,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Invert,4104e4
16,9,59,225,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Fish,4104e4
9,9,59,225,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Invert,4104e4
11,9,59,226,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Fish,4104e4
1,9,59,226,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Invert,4104e4
16,9,59,227,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Fish,4104e4
5,9,59,227,1,2018-03-07T00:00:00Z,Dodd's Beach,4,Inside,Invert,4104e4
6,11,64,244,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Fish,-368755200
7,11,64,244,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Invert,-368755200
9,11,64,245,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Fish,-368755200
11,11,64,245,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Invert,-368755200
10,11,64,246,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Fish,-368755200
12,11,64,246,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Invert,-368755200
12,11,64,247,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Fish,-368755200
9,11,64,247,1,2005-03-12T00:00:00Z,Outside Granite Island,7,Outside,Invert,-368755200
4,11,65,248,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-338601600
7,11,65,248,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-338601600
7,11,65,249,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-338601600
8,11,65,249,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-338601600
12,11,65,250,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-338601600
11,11,65,250,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-338601600
9,11,65,251,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-338601600
4,11,65,251,1,2006-02-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-338601600
6,11,66,252,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Fish,-303177600
9,11,66,252,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Invert,-303177600
8,11,66,253,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Fish,-303177600
12,11,66,253,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Invert,-303177600
5,11,66,254,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Fish,-303177600
8,11,66,254,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Invert,-303177600
6,11,66,255,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Fish,-303177600
10,11,66,255,1,2007-04-10T00:00:00Z,Outside Granite Island,7,Outside,Invert,-303177600
5,11,67,256,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-288748800
6,11,67,256,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-288748800
7,11,67,257,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-288748800
7,11,67,257,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-288748800
10,11,67,258,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-288748800
9,11,67,258,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-288748800
9,11,67,259,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Fish,-288748800
13,11,67,259,1,2007-09-24T00:00:00Z,Outside Granite Island,7,Outside,Invert,-288748800
5,11,68,260,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Fish,12787200
11,11,68,260,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Invert,12787200
6,11,68,261,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Fish,12787200
8,11,68,261,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Invert,12787200
10,11,68,262,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Fish,12787200
10,11,68,262,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Invert,12787200
8,11,68,263,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Fish,12787200
12,11,68,263,1,2017-04-14T00:00:00Z,Outside Granite Island,7,Outside,Invert,12787200
6,11,495,1850,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Fish,37670400
10,11,495,1850,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Invert,37670400
4,11,495,1851,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Fish,37670400
7,11,495,1851,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Invert,37670400
8,11,495,1852,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Fish,37670400
10,11,495,1852,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Invert,37670400
5,11,495,1853,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Fish,37670400
8,11,495,1853,1,2018-01-27T00:00:00Z,Outside Granite Island,7,Outside,Invert,37670400
14,12,69,264,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Fish,-368755200
6,12,69,264,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Invert,-368755200
11,12,69,265,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Fish,-368755200
