CAABcode,Family,Genus,Species,Species2,COMMON NAME
37287005,Neosebastidae,Neosebastes,scorpaenoides,Neosebastes scorpaenoides,Common Gurnard Perch
37287947,Neosebastidae,NEOSEBASTIDAE,sp,NEOSEBASTIDAE sp,Gurnard
37287952,Tetrarogidae,Tetrarogidae,sp,Tetrarogidae sp,Waspfish
37296037,Platycephalidae,Platycephalus,speculator,Platycephalus speculator,Southern Bluespotted Flathead
37296913,Platycephalidae,Platycephalus,sp,Platycephalus sp,Flathead
37311003,Serranidae,Caesioperca,rasor,Caesioperca rasor,Barber Perch
37311005,Serranidae,Othos,dentex,Othos dentex,Harlequin Fish
37311037,Serranidae,Hypoplectrodes,nigroruber,Hypoplectrodes nigroruber,Banded Seaperch
37316009,Plesiopidae,Paraplesiops,meleagris,Paraplesiops meleagris,Southern Blue Devil
37316017,Plesiopidae,Trachinops,noarlungae,Trachinops noarlungae,Yellowhead Hulafish
37321020,Terapontidae,Pelates,octolineatus,Pelates octolineatus,Western Striped Grunter
37327002,Dinolestidae,Dinolestes,lewini,Dinolestes lewini,Longfin Pike
37327032,Apogonidae,Siphamia,cephalotes,Siphamia cephalotes,Wood's Siphonfish
37327033,Apogonidae,Vincentia,conspersa,Vincentia conspersa,Southern Cardinalfish
3733e4,Sillaginidae,Sillaginidae,sp, sp,Whiting unidentified
37330001,Sillaginidae,Sillaginodes,punctatus,Sillaginodes punctatus,King George Whiting
37330002,Sillaginidae,Sillago,bassensis,Sillago bassensis,Southern School Whiting
37330904,Sillaginidae,Sillago,sp,Sillago sp,Whiting
37337003,Carangidae,Trachurus,novaezelandiae,Trachurus novaezelandiae,Yellowtail Scad
37337006,Carangidae,Seriola,lalandi,Seriola lalandi,Yellowtail Kingfish
37337007,Carangidae,Seriola,hippos,Seriola hippos,Samsonfish
37337063,Carangidae,Pseudocaranx,wrighti,Pseudocaranx wrighti,Skipjack Trevally
37337924,Carangidae,Pseudocaranx,sp,Pseudocaranx sp,Trevally
37344001,Arripidae,Arripis,georgianus,Arripis georgianus,Australian Herring
37344004,Arripidae,Arripis,truttaceus,Arripis truttaceus,Western Australian Salmon
37349001,Gerreidae,Parequula,melbournensis,Parequula melbournensis,Silverbelly
37353001,Sparidae,Pagrus,auratus,Pagrus auratus,Snapper
37355029,Mullidae,Upeneichthys,vlamingii,Upeneichthys vlamingii,Bluespotted Goatfish
37357001,Pempherididae,Pempheris,multiradiata,Pempheris multiradiata,Bigscale Bullseye
37357003,Pempherididae,Pempheris,klunzingeri,Pempheris klunzingeri,Rough Bullseye
37357903,Pempherididae,Pempheris,sp,Pempheris sp,Bullseye
37361001,Kyphosidae,Kyphosus,sydneyanus,Kyphosus sydneyanus,Silver Drummer
37361002,Scorpididae,Neatypus,obliquus,Neatypus obliquus,Footballer Sweep
37361003,Scorpididae,Tilodon,sexfasciatus,Tilodon sexfasciatus,Moonlighter
37361004,Scorpididae,Scorpis,aequipinnis,Scorpis aequipinnis,Sea Sweep
37361008,Kyphosidae,Girella,zebra,Girella zebra,Zebrafish
37361015,Scorpididae,Scorpis,georgiana,Scorpis georgiana,Banded Sweep
