OpCode,SZname,SZFullname,SiteName,InOutSZ,YearMonth,FieldSeason,MPZoneID,MPNAME,RES_NUM
SGWI01_1601,SG,Sponge Gardens,SGW,I,1601,2015_16,73,Encounter,15
SGWI02_1601,SG,Sponge Gardens,SGW,I,1601,2015_16,73,Encounter,15
SGWI03_1601,SG,Sponge Gardens,SGW,I,1601,2015_16,73,Encounter,15
SGWI04_1601,SG,Sponge Gardens,SGW,I,1601,2015_16,73,Encounter,15
SGWO01_1601,SG,Sponge Gardens,SGW,O,1601,2015_16,73,Encounter,15
SGWO02_1601,SG,Sponge Gardens,SGW,O,1601,2015_16,73,Encounter,15
SGWO03_1601,SG,Sponge Gardens,SGW,O,1601,2015_16,73,Encounter,15
SGWO04_1601,SG,Sponge Gardens,SGW,O,1601,2015_16,73,Encounter,15
CCNI01_1503,CC,Cape du Couedic,CCN,I,1503,2014_15,77,Western Kangaroo Island,16
CCNI03_1503,CC,Cape du Couedic,CCN,I,1503,2014_15,77,Western Kangaroo Island,16
CCNI04_1503,CC,Cape du Couedic,CCN,I,1503,2014_15,77,Western Kangaroo Island,16
CCEI01_1503,CC,Cape du Couedic,CCE,I,1503,2014_15,77,Western Kangaroo Island,16
CCEI02_1503,CC,Cape du Couedic,CCE,I,1503,2014_15,77,Western Kangaroo Island,16
CCEI03_1503,CC,Cape du Couedic,CCE,I,1503,2014_15,77,Western Kangaroo Island,16
CCCI01_1503,CC,Cape du Couedic,CCC,I,1503,2014_15,77,Western Kangaroo Island,16
CCCI04_1503,CC,Cape du Couedic,CCC,I,1503,2014_15,77,Western Kangaroo Island,16
CCSI01_1503,CC,Cape du Couedic,CCS,I,1503,2014_15,77,Western Kangaroo Island,16
CCSI02_1503,CC,Cape du Couedic,CCS,I,1503,2014_15,77,Western Kangaroo Island,16
CCSI03_1503,CC,Cape du Couedic,CCS,I,1503,2014_15,77,Western Kangaroo Island,16
CCSI04_1503,CC,Cape du Couedic,CCS,I,1503,2014_15,77,Western Kangaroo Island,16
ISDI01_1503,IS,Isles of St Francis,ISD,I,1503,2014_15,11,Nuyts Archipelago,2
ISDI02_1503,IS,Isles of St Francis,ISD,I,1503,2014_15,11,Nuyts Archipelago,2
ISDI03_1503,IS,Isles of St Francis,ISD,I,1503,2014_15,11,Nuyts Archipelago,2
ISEO01_1503,IS,Isles of St Francis,ISE,O,1503,2014_15,11,Nuyts Archipelago,2
ISEO03_1503,IS,Isles of St Francis,ISE,O,1503,2014_15,11,Nuyts Archipelago,2
ISEO04_1503,IS,Isles of St Francis,ISE,O,1503,2014_15,11,Nuyts Archipelago,2
ISFI01_1503,IS,Isles of St Francis,ISF,I,1503,2014_15,11,Nuyts Archipelago,2
ISFI02_1503,IS,Isles of St Francis,ISF,I,1503,2014_15,11,Nuyts Archipelago,2
